,Date,Open,High,Low,Close
2697,2015-01-05,2.16,2.21,2.16,2.16
2696,2015-01-06,2.16,2.27,2.13,2.27
2695,2015-01-07,2.27,2.35,2.24,2.29
2694,2015-01-08,2.29,2.35,2.27,2.29
2693,2015-01-09,2.29,2.43,2.27,2.4
2692,2015-01-12,2.43,2.43,2.35,2.35
2691,2015-01-13,2.35,2.4,2.32,2.4
2690,2015-01-14,2.4,2.4,2.32,2.35
2689,2015-01-15,2.35,2.4,2.32,2.37
2688,2015-01-16,2.4,2.4,2.32,2.32
2687,2015-01-19,2.35,2.37,2.32,2.32
2686,2015-01-20,2.37,2.43,2.32,2.32
2685,2015-01-21,2.32,2.35,2.29,2.29
2684,2015-01-22,2.29,2.4,2.27,2.35
2683,2015-01-23,2.35,2.43,2.35,2.4
2682,2015-01-26,2.4,2.43,2.37,2.4
2681,2015-01-27,2.4,2.43,2.32,2.35
2680,2015-01-28,2.35,2.51,2.32,2.48
2679,2015-01-29,2.48,2.51,2.43,2.48
2678,2015-01-30,2.48,2.48,2.37,2.4
2677,2015-02-02,2.4,2.43,2.35,2.35
2676,2015-02-03,2.35,2.37,2.21,2.21
2675,2015-02-04,2.21,2.29,2.21,2.27
2674,2015-02-05,2.27,2.32,2.27,2.29
2673,2015-02-06,2.29,2.35,2.27,2.32
2672,2015-02-09,2.35,2.37,2.32,2.32
2671,2015-02-10,2.32,2.37,2.32,2.35
2670,2015-02-11,2.35,2.37,2.32,2.37
2669,2015-02-12,2.37,2.37,2.32,2.35
2668,2015-02-13,2.35,2.37,2.32,2.35
2667,2015-02-24,2.37,2.43,2.37,2.43
2666,2015-02-25,2.37,2.45,2.37,2.4
2665,2015-02-26,2.4,2.45,2.4,2.43
2664,2015-02-27,2.43,2.43,2.4,2.4
2663,2015-03-02,2.4,2.4,2.37,2.37
2662,2015-03-03,2.37,2.43,2.37,2.43
2661,2015-03-04,2.43,2.43,2.4,2.43
2660,2015-03-05,2.43,2.43,2.37,2.4
2659,2015-03-06,2.4,2.43,2.37,2.37
2658,2015-03-09,2.37,2.4,2.35,2.35
2657,2015-03-10,2.35,2.4,2.35,2.4
2656,2015-03-11,2.4,2.4,2.35,2.37
2655,2015-03-12,2.37,2.37,2.32,2.37
2654,2015-03-13,2.37,2.4,2.35,2.37
2653,2015-03-16,2.37,2.37,2.32,2.35
2652,2015-03-17,2.35,2.37,2.32,2.35
2651,2015-03-18,2.32,2.35,2.29,2.32
2650,2015-03-19,2.32,2.32,2.27,2.29
2649,2015-03-20,2.08,2.32,2.08,2.32
2648,2015-03-23,2.32,2.32,2.27,2.27
2647,2015-03-24,2.27,2.27,2.24,2.24
2646,2015-03-25,2.27,2.27,2.24,2.24
2645,2015-03-26,2.27,2.29,2.24,2.24
2644,2015-03-27,2.27,2.35,2.27,2.27
2643,2015-03-30,2.27,2.32,2.24,2.27
2642,2015-03-31,2.27,2.29,2.24,2.29
2641,2015-04-01,2.29,2.29,2.19,2.24
2640,2015-04-02,2.24,2.29,2.21,2.27
2639,2015-04-03,2.27,2.27,2.24,2.24
2638,2015-04-06,2.24,2.27,2.21,2.24
2637,2015-04-07,2.24,2.27,2.21,2.27
2636,2015-04-08,2.27,2.27,2.24,2.24
2635,2015-04-09,2.24,2.29,2.24,2.27
2634,2015-04-10,2.27,2.29,2.27,2.29
2633,2015-04-13,2.27,2.29,2.27,2.27
2632,2015-04-14,2.05,2.29,2.05,2.24
2631,2015-04-15,2.24,2.27,2.24,2.27
2630,2015-04-16,2.27,2.32,2.27,2.29
2629,2015-04-17,2.29,2.32,2.27,2.29
2628,2015-04-20,2.27,2.29,2.27,2.27
2627,2015-04-21,2.27,2.29,2.27,2.27
2626,2015-04-22,2.27,2.29,2.24,2.27
2625,2015-04-23,2.27,2.29,2.24,2.24
2624,2015-04-24,2.27,2.27,2.21,2.24
2623,2015-04-27,2.24,2.27,2.21,2.24
2622,2015-05-04,2.03,2.24,2.03,2.16
2621,2015-05-05,2.13,2.19,2.13,2.16
2620,2015-05-06,2.16,2.16,2.11,2.13
2619,2015-05-07,2.13,2.16,2.11,2.16
2618,2015-05-08,2.13,2.16,2.13,2.16
2617,2015-05-11,2.16,2.16,2.03,2.11
2616,2015-05-12,2.11,2.13,1.92,2.08
2615,2015-05-13,2.08,2.08,1.97,2.08
2614,2015-05-14,2.05,2.08,2.0,2.08
2613,2015-05-15,2.05,2.05,2.03,2.05
2612,2015-05-18,2.0,2.03,1.95,2.0
2611,2015-05-19,2.0,2.05,2.0,2.03
2610,2015-05-20,2.03,2.08,2.03,2.05
2609,2015-05-21,2.11,2.11,2.03,2.05
2608,2015-05-22,2.03,2.05,2.03,2.03
2607,2015-05-25,2.05,2.05,2.0,2.03
2606,2015-05-26,2.03,2.11,2.03,2.08
2605,2015-05-27,2.08,2.08,2.03,2.05
2604,2015-05-28,2.05,2.24,2.05,2.19
2603,2015-05-29,2.19,2.24,2.13,2.13
2602,2015-06-01,2.13,2.21,2.13,2.16
2601,2015-06-02,2.37,2.37,2.13,2.13
2600,2015-06-03,2.13,2.16,2.11,2.13
2599,2015-06-04,2.13,2.19,2.11,2.13
2598,2015-06-05,2.13,2.19,2.13,2.16
2597,2015-06-08,2.16,2.21,2.16,2.19
2596,2015-06-09,2.19,2.19,2.11,2.11
2595,2015-06-10,2.13,2.13,2.08,2.13
