,Date,Open,High,Low,Close
2700,2015-01-05,2.14,2.19,2.12,2.14
2699,2015-01-06,2.12,2.19,2.04,2.19
2698,2015-01-07,2.19,2.23,2.16,2.16
2697,2015-01-08,2.21,2.27,2.19,2.23
2696,2015-01-09,2.23,2.29,2.21,2.27
2695,2015-01-12,2.04,2.29,2.04,2.21
2694,2015-01-13,2.21,2.23,2.16,2.19
2693,2015-01-14,1.98,2.25,1.98,2.19
2692,2015-01-15,2.23,2.25,2.21,2.21
2691,2015-01-16,2.23,2.31,2.23,2.23
2690,2015-01-19,2.23,2.25,2.21,2.25
2689,2015-01-20,2.25,2.27,2.21,2.25
2688,2015-01-21,2.25,2.25,2.12,2.12
2687,2015-01-22,2.1,2.19,2.08,2.14
2686,2015-01-23,2.16,2.19,2.14,2.16
2685,2015-01-26,2.16,2.19,2.12,2.12
2684,2015-01-27,2.12,2.14,2.06,2.08
2683,2015-01-28,2.08,2.12,2.06,2.1
2682,2015-01-29,2.12,2.12,2.1,2.12
2681,2015-01-30,2.12,2.14,2.04,2.06
2680,2015-02-02,2.04,2.08,2.0,2.0
2679,2015-02-03,2.0,2.04,1.96,1.96
2678,2015-02-04,1.96,1.96,1.92,1.92
2677,2015-02-05,1.92,1.94,1.9,1.92
2676,2015-02-06,1.92,1.96,1.92,1.94
2675,2015-02-09,1.94,1.96,1.92,1.92
2674,2015-02-10,1.92,1.94,1.9,1.92
2673,2015-02-11,1.94,2.0,1.92,2.0
2672,2015-02-12,2.0,2.02,1.98,1.98
2671,2015-02-13,2.0,2.02,1.98,1.98
2670,2015-02-24,2.0,2.04,1.98,2.04
2669,2015-02-25,2.04,2.06,2.0,2.0
2668,2015-02-26,2.0,2.02,1.98,2.0
2667,2015-02-27,2.02,2.04,2.0,2.0
2666,2015-03-02,2.0,2.0,1.96,1.98
2665,2015-03-03,1.98,2.02,1.98,2.0
2664,2015-03-04,2.02,2.08,2.02,2.08
2663,2015-03-05,2.1,2.1,2.06,2.06
2662,2015-03-06,2.06,2.06,2.04,2.04
2661,2015-03-09,2.04,2.04,1.98,2.0
2660,2015-03-10,2.0,2.02,1.98,2.0
2659,2015-03-11,2.0,2.0,1.98,1.98
2658,2015-03-12,1.98,2.0,1.96,2.0
2657,2015-03-13,2.0,2.02,1.96,1.96
2656,2015-03-16,1.96,1.96,1.92,1.92
2655,2015-03-17,1.94,1.96,1.94,1.96
2654,2015-03-18,1.96,1.96,1.92,1.94
2653,2015-03-19,1.94,1.94,1.92,1.92
2652,2015-03-20,1.92,1.96,1.9,1.96
2651,2015-03-23,1.96,1.96,1.9,1.9
2650,2015-03-24,1.88,1.9,1.86,1.88
2649,2015-03-25,1.9,1.9,1.84,1.84
2648,2015-03-26,1.84,1.88,1.84,1.84
2647,2015-03-27,1.65,1.86,1.65,1.82
2646,2015-03-30,1.84,1.84,1.72,1.72
2645,2015-03-31,1.74,1.76,1.72,1.72
2644,2015-04-01,1.72,1.74,1.61,1.61
2643,2015-04-02,1.61,1.67,1.59,1.67
2642,2015-04-03,1.67,1.67,1.65,1.67
2641,2015-04-06,1.65,1.67,1.61,1.61
2640,2015-04-07,1.61,1.65,1.61,1.65
2639,2015-04-08,1.67,1.67,1.61,1.63
2638,2015-04-09,1.63,1.7,1.63,1.67
2637,2015-04-10,1.63,1.76,1.51,1.72
2636,2015-04-13,1.74,1.76,1.72,1.74
2635,2015-04-14,1.74,1.74,1.7,1.7
2634,2015-04-15,1.72,1.74,1.67,1.7
2633,2015-04-16,1.72,1.76,1.7,1.72
2632,2015-04-17,1.72,1.74,1.7,1.72
2631,2015-04-20,1.72,1.72,1.67,1.7
2630,2015-04-21,1.7,1.72,1.67,1.67
2629,2015-04-22,1.67,1.7,1.65,1.65
2628,2015-04-23,1.67,1.67,1.63,1.65
2627,2015-04-24,1.65,1.65,1.63,1.65
2626,2015-04-27,1.63,1.63,1.59,1.61
2625,2015-05-04,1.61,1.61,1.47,1.47
2624,2015-05-05,1.47,1.53,1.41,1.53
2623,2015-05-06,1.47,1.51,1.45,1.45
2622,2015-05-07,1.43,1.51,1.43,1.47
2621,2015-05-08,1.45,1.49,1.45,1.47
2620,2015-05-11,1.49,1.49,1.45,1.45
2619,2015-05-12,1.43,1.45,1.33,1.35
2618,2015-05-13,1.37,1.37,1.31,1.33
2617,2015-05-14,1.33,1.39,1.33,1.37
2616,2015-05-15,1.37,1.39,1.31,1.31
2615,2015-05-18,1.31,1.31,1.27,1.29
2614,2015-05-19,1.31,1.31,1.27,1.31
2613,2015-05-20,1.31,1.43,1.31,1.43
2612,2015-05-21,1.47,1.53,1.47,1.53
2611,2015-05-22,1.51,1.53,1.49,1.53
2610,2015-05-25,1.51,1.57,1.51,1.57
2609,2015-05-26,1.55,1.61,1.55,1.57
2608,2015-05-27,1.57,1.61,1.53,1.55
2607,2015-05-28,1.55,1.7,1.55,1.7
2606,2015-05-29,1.74,1.76,1.63,1.67
2605,2015-06-01,1.65,1.7,1.63,1.65
2604,2015-06-02,1.67,1.74,1.63,1.67
2603,2015-06-03,1.65,1.74,1.65,1.72
2602,2015-06-04,1.72,1.8,1.72,1.72
2601,2015-06-05,1.74,1.8,1.72,1.8
2600,2015-06-08,1.82,1.86,1.8,1.8
2599,2015-06-09,1.8,1.82,1.74,1.76
2598,2015-06-10,1.76,1.78,1.72,1.76
2597,2015-06-11,1.8,1.8,1.78,1.8
2596,2015-06-12,1.82,1.9,1.82,1.9
2595,2015-06-15,1.9,1.94,1.88,1.9
2594,2015-06-16,1.9,1.9,1.84,1.84
2593,2015-06-17,1.84,1.84,1.78,1.78
2592,2015-06-18,1.8,1.82,1.76,1.78
2591,2015-06-19,1.8,1.82,1.74,1.74
2590,2015-06-22,1.76,1.78,1.74,1.76
2589,2015-06-23,1.76,1.78,1.74,1.74
2588,2015-06-24,1.74,1.78,1.74,1.78
2587,2015-06-25,1.78,1.78,1.74,1.74
