,Date,Open,High,Low,Close
2700,2015-01-05,6.38,6.42,6.31,6.31
2699,2015-01-06,6.19,6.33,6.14,6.31
2698,2015-01-07,6.33,6.38,6.26,6.28
2697,2015-01-08,6.31,6.33,6.26,6.28
2696,2015-01-09,6.28,6.38,6.28,6.35
2695,2015-01-12,6.35,6.4,6.26,6.28
2694,2015-01-13,6.24,6.33,6.24,6.28
2693,2015-01-14,6.28,6.42,6.17,6.35
2692,2015-01-15,6.38,6.42,6.35,6.4
2691,2015-01-16,6.47,6.52,6.38,6.4
2690,2015-01-19,6.4,6.4,6.31,6.31
2689,2015-01-20,6.28,6.33,6.26,6.26
2688,2015-01-21,6.31,6.35,6.24,6.26
2687,2015-01-22,6.31,6.35,6.21,6.31
2686,2015-01-23,6.35,6.47,6.31,6.4
2685,2015-01-26,6.42,6.45,6.35,6.35
2684,2015-01-27,6.33,6.38,6.24,6.26
2683,2015-01-28,6.26,6.28,6.19,6.24
2682,2015-01-29,6.24,6.26,6.19,6.26
2681,2015-01-30,6.26,6.26,6.1,6.12
2680,2015-02-02,6.1,6.17,6.0,6.0
2679,2015-02-03,6.0,6.05,5.94,5.94
2678,2015-02-04,6.0,6.0,5.89,5.91
2677,2015-02-05,5.94,5.98,5.91,5.94
2676,2015-02-06,5.91,6.03,5.91,6.03
2675,2015-02-09,6.05,6.05,5.96,5.96
2674,2015-02-10,5.98,6.03,5.94,5.98
2673,2015-02-11,5.98,6.21,5.98,6.19
2672,2015-02-12,6.24,6.28,6.19,6.28
2671,2015-02-13,6.28,6.33,6.24,6.31
2670,2015-02-24,6.28,6.45,6.28,6.4
2669,2015-02-25,6.45,6.45,6.31,6.31
2668,2015-02-26,6.31,6.38,6.31,6.33
2667,2015-02-27,6.35,6.4,6.31,6.35
2666,2015-03-02,6.35,6.38,6.33,6.35
2665,2015-03-03,6.35,6.4,6.33,6.38
2664,2015-03-04,6.42,6.45,6.4,6.45
2663,2015-03-05,6.47,6.47,6.35,6.35
2662,2015-03-06,6.51,6.59,6.48,6.48
2661,2015-03-09,6.51,6.51,6.31,6.34
2660,2015-03-10,6.34,6.37,6.28,6.34
2659,2015-03-11,6.34,6.34,6.26,6.26
2658,2015-03-12,6.26,6.28,6.17,6.26
2657,2015-03-13,6.28,6.31,6.23,6.23
2656,2015-03-16,6.23,6.26,6.14,6.14
2655,2015-03-17,6.14,6.23,6.14,6.2
2654,2015-03-18,6.2,6.2,6.12,6.12
2653,2015-03-19,6.12,6.17,5.98,6.03
2652,2015-03-20,6.03,6.2,6.01,6.2
2651,2015-03-23,6.2,6.2,6.03,6.03
2650,2015-03-24,6.01,6.01,5.89,5.95
2649,2015-03-25,5.98,6.01,5.87,5.87
2648,2015-03-26,5.81,5.89,5.75,5.78
2647,2015-03-27,5.81,5.89,5.7,5.7
2646,2015-03-30,5.7,5.75,5.59,5.59
2645,2015-03-31,5.59,5.75,5.59,5.64
2644,2015-04-01,5.67,5.7,5.5,5.5
2643,2015-04-02,5.5,5.64,5.45,5.61
2642,2015-04-03,5.61,5.67,5.59,5.64
2641,2015-04-06,5.64,5.64,5.53,5.59
2640,2015-04-07,5.59,5.67,5.53,5.67
2639,2015-04-08,5.7,5.73,5.61,5.61
2638,2015-04-09,5.61,5.7,5.59,5.64
2637,2015-04-10,5.7,5.84,5.67,5.75
2636,2015-04-13,5.78,5.84,5.75,5.75
2635,2015-04-14,5.75,5.78,5.67,5.67
2634,2015-04-15,5.67,5.75,5.64,5.73
2633,2015-04-16,5.78,5.95,5.73,5.92
2632,2015-04-17,5.95,6.03,5.95,5.98
2631,2015-04-20,5.95,5.98,5.84,5.87
2630,2015-04-21,5.84,5.92,5.81,5.81
2629,2015-04-22,5.81,5.84,5.78,5.78
2628,2015-04-23,5.78,5.84,5.75,5.84
2627,2015-04-24,5.87,5.87,5.81,5.81
2626,2015-04-27,5.81,5.84,5.75,5.75
2625,2015-05-04,5.75,5.75,5.56,5.59
2624,2015-05-05,5.56,5.73,5.5,5.73
2623,2015-05-06,5.67,5.73,5.59,5.64
2622,2015-05-07,5.64,5.67,5.59,5.61
2621,2015-05-08,5.61,5.7,5.61,5.67
2620,2015-05-11,5.67,5.7,5.59,5.61
2619,2015-05-12,5.59,5.64,5.56,5.59
2618,2015-05-13,5.59,5.61,5.5,5.59
2617,2015-05-14,5.59,5.59,5.53,5.59
2616,2015-05-15,5.59,5.61,5.45,5.45
2615,2015-05-18,5.47,5.5,5.33,5.33
2614,2015-05-19,5.33,5.42,5.33,5.36
2613,2015-05-20,5.42,5.73,5.39,5.73
2612,2015-05-21,5.81,5.98,5.78,5.92
2611,2015-05-22,5.87,6.01,5.87,5.98
2610,2015-05-25,5.98,6.09,5.92,6.09
2609,2015-05-26,6.03,6.12,5.98,6.01
2608,2015-05-27,5.98,6.09,5.95,6.01
2607,2015-05-28,5.98,6.23,5.98,6.09
2606,2015-05-29,6.09,6.09,5.98,5.98
2605,2015-06-01,5.95,6.06,5.92,6.03
2604,2015-06-02,6.03,6.26,6.01,6.12
2603,2015-06-03,6.12,6.37,6.09,6.34
2602,2015-06-04,6.4,6.42,6.28,6.31
2601,2015-06-05,6.28,6.56,6.2,6.48
2600,2015-06-08,6.56,6.62,6.45,6.45
2599,2015-06-09,6.42,6.54,6.42,6.48
2598,2015-06-10,6.45,6.54,6.42,6.48
2597,2015-06-11,6.54,6.65,6.54,6.62
2596,2015-06-12,6.76,6.84,6.68,6.82
2595,2015-06-15,6.82,6.93,6.73,6.73
2594,2015-06-16,6.76,6.79,6.56,6.56
2593,2015-06-17,6.54,6.62,6.45,6.51
2592,2015-06-18,6.56,6.7,6.56,6.65
2591,2015-06-19,6.76,6.76,6.56,6.56
2590,2015-06-22,6.56,6.68,6.56,6.68
2589,2015-06-23,6.7,6.73,6.59,6.59
2588,2015-06-24,6.65,6.7,6.59,6.62
2587,2015-06-25,6.65,6.68,6.56,6.65
2586,2015-06-26,6.65,7.07,6.65,6.82
2585,2015-06-29,6.84,6.98,6.82,6.93
2584,2015-06-30,6.87,6.93,6.79,6.79
2583,2015-07-01,6.87,6.95,6.79,6.93
2582,2015-07-02,6.93,7.09,6.9,7.01
2581,2015-07-03,7.07,7.26,7.01,7.26
2580,2015-07-06,7.37,7.49,7.32,7.4
2579,2015-07-07,7.35,7.46,7.29,7.37
2578,2015-07-08,7.35,7.37,7.15,7.18
2577,2015-07-09,7.09,7.35,7.07,7.32
2576,2015-07-10,7.37,7.46,7.23,7.26
2575,2015-07-13,7.29,7.37,7.21,7.32
2574,2015-07-14,7.37,7.57,7.21,7.49
2573,2015-07-15,7.54,7.54,7.32,7.32
2572,2015-07-16,7.26,7.37,7.23,7.35
2571,2015-07-17,7.37,7.37,7.26,7.26
2570,2015-07-20,7.21,7.35,7.09,7.32
2569,2015-07-21,7.35,7.37,7.23,7.29
2568,2015-07-22,7.26,7.51,7.23,7.51
2567,2015-07-23,7.57,7.68,7.54,7.6
2566,2015-07-24,7.6,7.68,7.54,7.6
2565,2015-07-27,7.6,8.02,7.57,7.9
2564,2015-07-28,7.88,7.9,7.79,7.82
2563,2015-07-29,7.79,7.85,7.65,7.68
2562,2015-07-30,7.68,7.71,7.63,7.65
2561,2015-07-31,7.74,7.76,7.6,7.6
2560,2015-08-03,7.51,7.51,7.26,7.32
2559,2015-08-04,7.37,7.49,7.29,7.4
2558,2015-08-05,7.46,7.54,7.43,7.54
2557,2015-08-06,7.54,7.57,7.49,7.49
2556,2015-08-07,7.49,7.57,7.4,7.49
2555,2015-08-10,7.54,7.71,7.54,7.71
2554,2015-08-11,7.76,7.88,7.65,7.65
