,Date,Open,High,Low,Close
1850,2018-06-04,16.12,16.53,16.12,16.12
1849,2018-06-05,15.6,16.69,15.11,15.11
1848,2018-06-06,14.96,15.11,14.33,14.49
1847,2018-06-07,14.88,15.49,14.66,15.49
1846,2018-06-08,15.9,16.56,15.67,16.56
1845,2018-06-11,16.5,17.16,16.25,17.16
1844,2018-06-12,17.0,17.0,16.2,16.53
1843,2018-06-13,16.53,17.0,16.45,16.59
1842,2018-06-14,16.77,16.77,16.3,16.53
1841,2018-06-15,16.61,16.61,16.3,16.56
1840,2018-06-18,16.39,16.53,15.43,15.74
1839,2018-06-19,14.97,15.27,14.64,14.96
1838,2018-06-20,14.96,15.19,14.66,14.99
1837,2018-06-21,15.02,15.02,14.69,14.99
1836,2018-06-22,14.97,14.97,14.74,14.96
1835,2018-06-25,15.11,15.27,15.07,15.1
1834,2018-06-26,14.86,15.04,14.83,14.96
1833,2018-06-27,14.72,14.96,14.72,14.74
1832,2018-06-28,14.64,14.72,13.93,14.52
1831,2018-06-29,14.33,14.49,13.7,14.44
1830,2018-07-02,14.45,14.45,13.7,13.84
1829,2018-07-03,13.78,13.9,12.88,12.88
1828,2018-07-04,12.67,12.75,11.98,12.75
1827,2018-07-05,13.63,13.63,12.75,13.3
1826,2018-07-06,13.23,13.7,12.75,13.6
1825,2018-07-09,13.7,13.79,13.16,13.46
1824,2018-07-10,13.46,13.46,12.99,13.06
1823,2018-07-11,12.8,12.8,12.16,12.16
1822,2018-07-12,11.86,12.28,11.86,12.28
1821,2018-07-13,12.47,12.52,12.28,12.38
1820,2018-07-16,12.28,12.38,12.16,12.38
1819,2018-07-17,12.38,12.99,12.14,12.8
1818,2018-07-18,12.99,13.46,12.9,13.2
1817,2018-07-19,13.23,13.23,12.99,13.18
1816,2018-07-20,12.99,13.18,12.85,13.18
1815,2018-07-23,12.9,13.16,12.57,12.57
1814,2018-07-24,12.75,12.99,12.42,12.47
1813,2018-07-25,12.66,12.68,11.76,12.64
1812,2018-07-26,12.28,12.4,12.05,12.19
1811,2018-07-27,12.19,12.38,12.09,12.26
1810,2018-07-30,12.26,12.38,12.23,12.33
1809,2018-07-31,12.35,13.18,12.28,13.13
1808,2018-08-01,13.18,13.53,12.83,13.01
1807,2018-08-02,12.9,13.46,12.75,13.46
1806,2018-08-03,13.51,13.65,13.23,13.39
1805,2018-08-06,13.23,13.37,13.13,13.23
1804,2018-08-07,13.11,13.32,12.94,13.2
1803,2018-08-08,13.3,13.3,12.94,13.11
1802,2018-08-09,13.18,13.37,12.94,12.94
