,Date,Open,High,Low,Close
2700,2015-01-05,4.64,4.64,4.47,4.55
2699,2015-01-06,4.42,4.64,4.42,4.64
2698,2015-01-07,4.6,4.68,4.51,4.51
2697,2015-01-08,4.6,4.6,4.42,4.47
2696,2015-01-09,4.51,4.55,4.38,4.51
2695,2015-01-12,4.51,4.55,4.42,4.47
2694,2015-01-13,4.42,4.6,4.42,4.6
2693,2015-01-14,4.55,4.64,4.47,4.6
2692,2015-01-15,4.55,4.64,4.51,4.6
2691,2015-01-16,4.64,4.64,4.51,4.55
2690,2015-01-19,4.55,4.55,4.47,4.55
2689,2015-01-20,4.55,4.55,4.47,4.47
2688,2015-01-21,4.51,4.51,4.38,4.47
2687,2015-01-22,4.47,4.55,4.42,4.55
2686,2015-01-23,4.55,4.6,4.51,4.55
2685,2015-01-26,4.55,4.6,4.51,4.55
2684,2015-01-27,4.55,4.6,4.42,4.55
2683,2015-01-28,4.51,4.55,4.42,4.47
2682,2015-01-29,4.51,4.51,4.42,4.47
2681,2015-01-30,4.47,4.47,4.34,4.38
2680,2015-02-02,4.38,4.38,4.25,4.25
2679,2015-02-03,4.34,4.38,4.16,4.16
2678,2015-02-04,4.16,4.29,4.16,4.25
2677,2015-02-05,4.29,4.38,4.25,4.34
2676,2015-02-06,4.38,4.47,4.38,4.47
2675,2015-02-09,4.47,4.47,4.38,4.38
2674,2015-02-10,4.38,4.38,4.34,4.34
2673,2015-02-11,4.34,4.51,4.34,4.51
2672,2015-02-12,4.51,4.51,4.42,4.47
2671,2015-02-13,4.47,4.51,4.42,4.42
2670,2015-02-24,4.47,4.51,4.38,4.38
2669,2015-02-25,4.47,4.47,4.34,4.38
2668,2015-02-26,4.42,4.42,4.34,4.38
2667,2015-02-27,4.38,4.38,4.29,4.29
2666,2015-03-02,4.29,4.34,4.25,4.25
2665,2015-03-03,4.29,4.42,4.29,4.38
2664,2015-03-04,4.42,4.42,4.34,4.38
2663,2015-03-05,4.38,4.42,4.38,4.42
2662,2015-03-06,4.38,4.42,4.34,4.38
2661,2015-03-09,4.38,4.38,4.29,4.34
2660,2015-03-10,4.34,4.34,4.29,4.29
2659,2015-03-11,4.34,4.34,4.25,4.25
2658,2015-03-12,4.25,4.34,4.25,4.29
2657,2015-03-13,4.34,4.34,4.29,4.29
2656,2015-03-16,4.34,4.34,4.29,4.29
2655,2015-03-17,4.25,4.34,4.25,4.29
2654,2015-03-18,4.34,4.34,4.29,4.34
2653,2015-03-19,4.34,4.47,4.25,4.47
2652,2015-03-20,4.38,4.38,4.34,4.38
2651,2015-03-23,4.38,4.38,4.25,4.29
2650,2015-03-24,4.29,4.34,4.25,4.34
2649,2015-03-25,4.29,4.34,4.25,4.29
2648,2015-03-26,4.29,4.34,4.29,4.29
