,Date,Open,High,Low,Close
1879,2018-04-19,8.11,8.11,7.36,7.51
1878,2018-04-20,7.6,7.6,7.39,7.53
1877,2018-04-23,7.53,7.55,7.02,7.13
1876,2018-04-24,7.02,7.18,6.65,7.13
1875,2018-04-26,7.11,7.16,6.83,6.88
1874,2018-04-27,6.94,6.99,6.8,6.99
1873,2018-05-02,7.16,7.16,6.88,6.9
1872,2018-05-03,6.9,6.9,6.72,6.9
1871,2018-05-04,7.05,7.05,6.83,6.9
1870,2018-05-07,6.92,6.95,6.76,6.95
1869,2018-05-08,7.18,7.18,6.9,6.97
1868,2018-05-09,6.97,6.97,6.85,6.95
1867,2018-05-10,6.95,6.95,6.72,6.83
1866,2018-05-11,6.83,6.9,6.62,6.9
1865,2018-05-14,6.9,6.9,6.67,6.83
1864,2018-05-15,6.83,6.91,6.67,6.9
1863,2018-05-16,6.9,6.91,6.76,6.83
1862,2018-05-17,6.85,6.9,6.79,6.83
1861,2018-05-18,6.81,6.9,6.75,6.88
1860,2018-05-21,6.89,6.89,6.82,6.84
1859,2018-05-22,6.84,6.89,6.62,6.79
1858,2018-05-23,6.79,6.82,6.69,6.81
1857,2018-05-24,6.8,6.82,6.74,6.79
1856,2018-05-25,6.79,6.81,6.7,6.72
1855,2018-05-28,6.67,6.69,6.28,6.28
1854,2018-05-29,6.37,6.68,6.37,6.67
1853,2018-05-30,6.66,6.7,6.58,6.65
1852,2018-05-31,6.62,6.63,6.48,6.48
1851,2018-06-01,6.62,6.62,6.48,6.48
1850,2018-06-04,6.51,6.9,6.47,6.83
1849,2018-06-05,6.85,6.85,6.69,6.81
1848,2018-06-06,6.76,6.79,6.67,6.69
1847,2018-06-07,6.72,6.72,6.65,6.69
1846,2018-06-08,6.69,6.72,6.6,6.63
1845,2018-06-11,6.69,6.69,6.53,6.6
1844,2018-06-12,6.6,6.6,6.44,6.53
1843,2018-06-13,6.53,6.55,6.48,6.53
1842,2018-06-14,6.53,6.53,6.43,6.48
1841,2018-06-15,6.52,6.52,6.43,6.44
1840,2018-06-18,6.44,6.44,6.25,6.25
1839,2018-06-19,6.16,6.35,5.82,6.28
1838,2018-06-20,6.28,6.37,6.28,6.35
1837,2018-06-21,6.39,6.46,6.25,6.35
1836,2018-06-22,6.32,6.37,6.32,6.37
1835,2018-06-25,6.38,6.48,6.37,6.44
1834,2018-06-26,6.07,6.46,6.07,6.44
1833,2018-06-27,6.41,6.44,6.25,6.4
1832,2018-06-28,6.4,6.4,6.25,6.25
1831,2018-06-29,6.37,6.37,6.23,6.37
1830,2018-07-02,6.37,6.39,6.24,6.25
1829,2018-07-03,6.25,6.26,6.01,6.04
1828,2018-07-04,6.04,6.07,5.74,5.89
1827,2018-07-05,6.0,6.1,5.86,5.86
1826,2018-07-06,5.86,6.18,5.86,6.18
1825,2018-07-09,6.25,6.25,5.75,6.25
1824,2018-07-10,6.25,6.3,6.23,6.3
1823,2018-07-11,6.3,6.3,6.16,6.21
1822,2018-07-12,6.18,6.21,6.15,6.19
1821,2018-07-13,6.29,6.31,6.23,6.28
1820,2018-07-16,6.25,6.25,6.14,6.25
1819,2018-07-17,6.25,6.26,6.21,6.21
1818,2018-07-18,6.22,6.28,6.17,6.25
1817,2018-07-19,6.24,6.25,6.18,6.23
1816,2018-07-20,6.25,6.25,6.21,6.23
1815,2018-07-23,6.24,6.24,6.18,6.22
1814,2018-07-24,6.25,6.26,5.79,6.18
1813,2018-07-25,6.16,6.22,5.79,6.11
1812,2018-07-26,6.11,6.21,6.1,6.14
1811,2018-07-27,6.14,6.21,6.1,6.16
1810,2018-07-30,6.0,6.16,5.81,5.93
1809,2018-07-31,5.8,5.93,5.8,5.91
1808,2018-08-01,5.87,5.92,5.79,5.79
1807,2018-08-02,5.78,5.79,5.56,5.72
1806,2018-08-03,5.56,5.79,5.56,5.71
1805,2018-08-06,5.71,5.79,5.51,5.53
1804,2018-08-07,5.55,5.58,5.55,5.57
1803,2018-08-08,5.57,5.69,5.57,5.65
1802,2018-08-09,5.67,5.95,5.67,5.88
1801,2018-08-10,5.89,5.95,5.81,5.92
1800,2018-08-13,5.93,6.03,5.87,6.02
1799,2018-08-14,6.09,6.11,6.02,6.02
1798,2018-08-15,6.02,6.08,5.95,5.96
1797,2018-08-16,5.93,6.04,5.93,6.03
1796,2018-08-17,6.09,6.25,6.03,6.08
1795,2018-08-20,6.02,6.09,6.02,6.02
1794,2018-08-21,6.02,6.08,6.02,6.08
1793,2018-08-22,6.08,6.17,6.04,6.1
1792,2018-08-23,6.07,6.18,6.07,6.14
1791,2018-08-24,6.15,6.15,6.11,6.15
