,Date,Open,High,Low,Close
2357,2015-01-26,11.21,11.21,9.2,10.23
2356,2015-01-27,9.77,10.23,9.26,9.26
2355,2015-01-28,9.2,9.31,9.08,9.08
2354,2015-01-29,8.91,9.14,8.22,8.22
2353,2015-01-30,8.22,8.91,8.22,8.68
2352,2015-02-02,8.68,8.68,8.05,8.51
2351,2015-02-03,8.62,8.62,7.99,8.39
2350,2015-02-04,7.93,8.39,7.88,8.39
2349,2015-02-05,8.22,8.51,8.22,8.45
2348,2015-02-06,8.62,8.85,8.39,8.39
2347,2015-02-09,8.39,8.45,8.34,8.39
2346,2015-02-10,7.82,8.28,7.76,7.76
2345,2015-02-11,8.11,8.16,7.99,8.16
2344,2015-02-12,8.05,8.11,7.99,8.11
2343,2015-02-13,8.05,8.05,8.05,8.05
2342,2015-02-24,8.05,8.05,7.99,7.99
2341,2015-02-25,7.99,8.11,7.88,7.88
2340,2015-02-26,7.88,7.88,7.7,7.76
2339,2015-02-27,7.7,7.99,7.7,7.82
2338,2015-03-02,7.82,7.82,7.76,7.76
2337,2015-03-03,7.82,8.22,7.76,8.22
2336,2015-03-04,8.16,8.16,7.88,7.88
2335,2015-03-05,7.88,7.99,7.76,7.88
2334,2015-03-06,7.82,8.28,7.82,8.28
2333,2015-03-09,8.57,8.57,8.05,8.05
2332,2015-03-10,8.28,8.34,7.93,8.34
2331,2015-03-11,8.05,8.34,8.05,8.16
2330,2015-03-12,8.16,8.97,8.16,8.97
2329,2015-03-13,8.97,9.08,8.85,8.91
2328,2015-03-16,8.74,8.91,8.74,8.74
2327,2015-03-17,8.57,9.14,8.57,9.03
2326,2015-03-18,9.08,9.2,8.97,9.2
2325,2015-03-19,9.14,9.49,9.14,9.37
2324,2015-03-20,9.37,9.37,9.2,9.2
2323,2015-03-23,9.2,9.26,8.97,9.08
2322,2015-03-24,9.08,9.08,8.45,8.97
2321,2015-03-25,9.2,9.72,8.97,9.31
2320,2015-03-26,9.43,9.49,9.08,9.43
2319,2015-03-27,9.37,9.54,9.31,9.31
2318,2015-03-30,9.31,9.31,8.91,8.91
2317,2015-03-31,8.91,9.2,8.91,9.03
2316,2015-04-01,9.03,9.03,8.68,8.91
2315,2015-04-02,8.91,9.43,8.91,9.43
2314,2015-04-03,9.49,9.95,9.43,9.77
2313,2015-04-06,9.77,9.77,9.66,9.77
2312,2015-04-07,9.72,9.77,9.6,9.77
2311,2015-04-08,9.72,9.77,9.54,9.54
2310,2015-04-09,9.54,9.6,9.14,9.6
2309,2015-04-10,9.6,9.72,9.49,9.6
2308,2015-04-13,9.6,9.6,9.31,9.54
2307,2015-04-14,9.54,9.54,9.37,9.37
2306,2015-04-15,9.37,9.6,9.31,9.43
2305,2015-04-16,9.43,9.54,9.43,9.49
2304,2015-04-17,9.49,9.6,9.49,9.6
2303,2015-04-20,9.6,9.6,9.54,9.6
2302,2015-04-21,9.6,9.6,9.54,9.54
2301,2015-04-22,9.54,9.54,9.43,9.43
2300,2015-04-23,9.43,9.43,9.31,9.43
2299,2015-04-24,9.43,9.43,9.31,9.43
2298,2015-04-27,9.43,9.49,9.37,9.49
2297,2015-05-04,9.49,9.49,8.85,9.2
2296,2015-05-05,9.43,9.43,9.43,9.43
2295,2015-05-06,9.43,9.43,9.43,9.43
2294,2015-05-07,9.08,9.08,8.62,8.62
2293,2015-05-08,9.08,9.08,7.88,7.88
2292,2015-05-11,8.45,8.45,7.76,8.05
2291,2015-05-12,7.76,8.74,7.76,8.74
2290,2015-05-13,8.05,8.62,7.88,8.62
2289,2015-05-14,7.99,8.57,7.76,8.57
2288,2015-05-15,8.05,8.57,7.76,8.57
2287,2015-05-18,7.93,8.05,7.76,8.05
2286,2015-05-19,8.05,8.05,7.59,8.05
2285,2015-05-20,7.76,8.16,7.76,8.05
2284,2015-05-21,7.82,7.93,7.76,7.88
2283,2015-05-22,7.88,8.62,7.88,8.62
2282,2015-05-25,8.74,8.91,8.57,8.91
2281,2015-05-26,8.74,8.8,8.05,8.05
2280,2015-05-27,7.88,8.22,7.82,8.22
2279,2015-05-28,8.05,8.62,7.99,8.51
2278,2015-05-29,8.34,8.34,7.88,7.88
2277,2015-06-01,7.93,8.39,7.93,8.39
2276,2015-06-02,8.62,8.91,8.39,8.62
2275,2015-06-03,8.62,8.62,8.34,8.45
2274,2015-06-04,8.45,8.45,8.28,8.39
2273,2015-06-05,8.34,8.51,8.28,8.34
2272,2015-06-08,9.17,9.17,8.49,8.72
2271,2015-06-09,8.72,9.02,8.57,8.94
2270,2015-06-10,9.17,9.24,8.49,9.02
2269,2015-06-11,9.09,9.17,8.57,8.87
2268,2015-06-12,8.94,8.94,8.64,8.87
2267,2015-06-15,8.87,8.87,8.64,8.72
2266,2015-06-16,8.64,8.64,8.57,8.57
2265,2015-06-17,8.57,8.57,7.74,8.34
2264,2015-06-18,8.49,8.49,8.34,8.49
2263,2015-06-19,8.49,8.57,8.42,8.49
2262,2015-06-22,8.49,8.57,8.42,8.42
2261,2015-06-23,8.49,8.49,8.27,8.49
2260,2015-06-24,8.49,8.49,8.42,8.49
2259,2015-06-25,8.57,8.57,8.34,8.49
2258,2015-06-26,8.49,8.64,8.34,8.57
2257,2015-06-29,8.72,8.72,8.42,8.49
2256,2015-06-30,8.57,8.57,7.89,8.42
2255,2015-07-01,8.49,8.49,8.27,8.27
2254,2015-07-02,8.34,8.34,8.12,8.34
2253,2015-07-03,8.42,8.42,8.27,8.34
2252,2015-07-06,8.34,8.34,8.12,8.27
2251,2015-07-07,8.19,8.27,8.19,8.19
2250,2015-07-08,8.19,8.19,7.81,8.12
2249,2015-07-09,8.12,8.12,7.74,7.74
2248,2015-07-10,8.12,8.12,7.81,7.97
2247,2015-07-13,8.12,8.12,7.59,7.59
2246,2015-07-14,7.89,7.89,7.81,7.81
2245,2015-07-15,7.74,7.89,7.59,7.89
2244,2015-07-16,7.81,7.81,7.51,7.66
2243,2015-07-17,7.66,7.81,7.66,7.81
2242,2015-07-20,7.81,7.81,7.51,7.74
2241,2015-07-21,7.81,7.81,7.51,7.66
2240,2015-07-22,7.81,7.81,7.51,7.66
2239,2015-07-23,7.81,7.81,7.66,7.74
2238,2015-07-24,7.81,7.81,7.51,7.51
2237,2015-07-27,8.12,8.12,7.44,7.66
2236,2015-07-28,7.66,7.66,7.51,7.59
2235,2015-07-29,7.81,7.81,7.59,7.66
2234,2015-07-30,7.59,7.59,7.51,7.51
2233,2015-07-31,7.59,7.59,7.51,7.59
2232,2015-08-03,7.66,7.66,7.51,7.59
2231,2015-08-04,7.66,7.66,7.44,7.51
2230,2015-08-05,7.51,7.51,7.21,7.44
2229,2015-08-06,7.66,7.66,7.36,7.44
2228,2015-08-07,7.51,7.51,7.29,7.36
2227,2015-08-10,7.36,7.51,7.21,7.51
2226,2015-08-11,7.51,7.51,7.14,7.29
2225,2015-08-12,7.44,7.44,7.29,7.29
2224,2015-08-13,7.29,7.36,7.29,7.36
2223,2015-08-14,7.29,7.44,7.29,7.44
2222,2015-08-17,7.44,7.44,7.14,7.36
2221,2015-08-18,7.36,7.36,7.29,7.29
2220,2015-08-19,7.29,7.44,7.29,7.44
2219,2015-08-20,7.44,7.44,7.29,7.36
2218,2015-08-21,7.36,7.36,7.14,7.14
2217,2015-08-24,7.14,7.14,6.46,7.14
2216,2015-08-25,6.99,7.44,6.99,7.36
2215,2015-08-26,7.21,7.36,7.21,7.36
2214,2015-08-27,7.14,7.36,7.14,7.36
2213,2015-08-28,7.29,7.74,7.29,7.44
2212,2015-08-31,7.29,7.81,7.21,7.74
2211,2015-09-01,7.81,7.81,7.36,7.36
2210,2015-09-03,7.66,7.66,7.29,7.51
2209,2015-09-04,7.66,7.66,7.66,7.66
2208,2015-09-07,7.59,7.59,7.44,7.51
2207,2015-09-08,7.51,7.66,7.51,7.51
2206,2015-09-09,7.51,7.89,7.51,7.81
2205,2015-09-10,7.81,8.42,7.81,8.27
2204,2015-09-11,8.19,8.79,8.19,8.42
2203,2015-09-14,8.27,8.72,8.12,8.27
2202,2015-09-15,8.34,8.34,8.12,8.12
2201,2015-09-16,8.04,8.27,7.89,7.89
2200,2015-09-17,7.97,8.12,7.89,8.12
2199,2015-09-18,8.12,8.27,8.04,8.12
2198,2015-09-21,8.12,8.27,8.04,8.27
2197,2015-09-22,8.27,8.34,8.04,8.19
2196,2015-09-23,8.12,8.19,8.04,8.12
2195,2015-09-24,8.12,8.19,7.97,8.04
2194,2015-09-25,8.04,8.04,7.81,7.97
2193,2015-09-28,7.97,8.04,7.74,7.74
2192,2015-09-29,7.81,8.12,7.66,8.04
2191,2015-09-30,8.04,8.12,7.89,7.97
2190,2015-10-01,7.97,8.12,7.89,7.97
2189,2015-10-02,7.97,8.04,7.59,7.89
2188,2015-10-05,7.97,8.04,7.81,8.04
2187,2015-10-06,8.04,8.19,7.97,8.04
2186,2015-10-07,8.04,8.27,7.97,7.97
2185,2015-10-08,8.04,8.19,8.04,8.04
2184,2015-10-09,8.04,8.12,7.97,8.04
2183,2015-10-12,8.04,8.12,7.89,7.89
2182,2015-10-13,7.89,7.97,7.81,7.89
2181,2015-10-14,7.97,8.12,7.89,7.97
2180,2015-10-15,7.97,8.12,7.97,7.97
2179,2015-10-16,7.97,8.19,7.97,8.12
2178,2015-10-19,8.12,8.87,8.12,8.87
2177,2015-10-20,9.02,9.09,8.72,9.09
2176,2015-10-21,9.09,9.09,8.57,8.79
2175,2015-10-22,8.72,8.72,8.42,8.57
2174,2015-10-23,8.57,9.17,8.42,8.57
2173,2015-10-26,8.57,8.64,8.27,8.27
2172,2015-10-27,8.27,8.49,8.19,8.42
2171,2015-10-28,8.42,8.57,8.34,8.42
2170,2015-10-29,8.42,8.49,8.27,8.27
2169,2015-10-30,8.27,8.49,8.27,8.34
2168,2015-11-02,8.34,8.42,8.04,8.04
2167,2015-11-03,8.04,8.19,8.04,8.19
2166,2015-11-04,8.19,8.49,8.19,8.19
2165,2015-11-05,8.19,8.27,8.12,8.27
2164,2015-11-06,8.27,8.27,7.97,8.19
2163,2015-11-09,8.27,8.42,8.12,8.12
2162,2015-11-10,8.12,8.19,8.04,8.19
2161,2015-11-11,8.19,8.19,7.97,8.12
2160,2015-11-12,8.04,8.12,7.89,8.04
2159,2015-11-13,8.04,8.04,7.51,7.59
2158,2015-11-16,7.59,7.59,7.29,7.29
2157,2015-11-17,7.29,7.44,6.91,7.06
2156,2015-11-18,7.14,7.74,6.99,7.74
2155,2015-11-19,7.74,8.04,7.36,7.97
2154,2015-11-20,7.89,8.72,7.74,8.64
2153,2015-11-23,8.64,8.87,8.12,8.57
2152,2015-11-24,8.57,8.64,7.97,7.97
2151,2015-11-25,7.97,8.12,7.81,8.04
2150,2015-11-26,8.04,8.34,7.89,8.34
2149,2015-11-27,8.27,8.27,7.97,8.04
2148,2015-11-30,8.04,8.27,7.74,8.04
2147,2015-12-01,8.04,8.27,7.89,8.27
2146,2015-12-02,8.27,8.72,8.04,8.72
2145,2015-12-03,8.72,9.02,8.12,8.49
2144,2015-12-04,8.49,8.64,8.19,8.42
2143,2015-12-07,8.42,8.42,8.19,8.34
2142,2015-12-08,8.27,8.42,8.04,8.42
2141,2015-12-09,8.42,8.49,8.12,8.42
2140,2015-12-10,8.42,8.49,8.04,8.34
2139,2015-12-11,8.34,8.79,8.04,8.79
2138,2015-12-14,8.72,8.87,8.34,8.64
2137,2015-12-15,8.64,8.79,8.64,8.79
2136,2015-12-16,8.79,8.87,8.64,8.72
2135,2015-12-17,8.64,8.94,8.57,8.94
2134,2015-12-18,8.94,8.94,8.57,8.94
2133,2015-12-21,8.94,9.02,8.79,9.02
2132,2015-12-22,9.02,9.02,8.57,8.57
2131,2015-12-23,8.49,8.64,8.34,8.42
2130,2015-12-24,8.34,8.34,7.81,7.97
2129,2015-12-25,7.97,8.04,7.59,7.89
2128,2015-12-28,7.89,7.89,7.66,7.66
2127,2015-12-29,7.66,7.97,7.66,7.97
2126,2015-12-30,7.97,8.12,7.81,8.04
2125,2015-12-31,8.04,8.64,7.97,8.64
2124,2016-01-04,8.57,8.57,7.97,8.12
2123,2016-01-05,8.12,8.12,7.81,7.89
2122,2016-01-06,7.89,8.27,7.89,8.04
2121,2016-01-07,8.04,8.04,7.66,7.74
2120,2016-01-08,7.66,7.66,7.44,7.59
2119,2016-01-11,7.59,7.66,7.21,7.29
2118,2016-01-12,7.29,7.89,7.21,7.89
2117,2016-01-13,7.89,7.89,7.59,7.74
2116,2016-01-14,7.66,7.66,7.36,7.66
2115,2016-01-15,7.66,7.81,7.51,7.74
2114,2016-01-18,7.74,7.74,7.14,7.51
