,Date,Open,High,Low,Close
2692,2015-01-15,2.98,3.92,2.98,3.47
2691,2015-01-16,3.36,3.36,3.24,3.27
2690,2015-01-19,3.27,3.27,3.09,3.09
2689,2015-01-20,2.95,3.13,2.91,3.13
2688,2015-01-21,3.04,3.13,3.02,3.02
2687,2015-01-22,3.0,3.11,2.98,3.02
2686,2015-01-23,3.02,3.07,3.0,3.0
2685,2015-01-26,3.0,3.0,2.91,2.91
2684,2015-01-27,2.91,2.91,2.71,2.71
2683,2015-01-28,2.66,2.84,2.66,2.84
2682,2015-01-29,2.73,2.84,2.73,2.73
2681,2015-01-30,2.73,2.75,2.71,2.73
2680,2015-02-02,2.69,2.71,2.6,2.66
2679,2015-02-03,2.64,2.64,2.48,2.48
2678,2015-02-04,2.46,2.57,2.37,2.37
2677,2015-02-05,2.42,2.42,2.39,2.39
2676,2015-02-06,2.42,2.55,2.37,2.55
2675,2015-02-09,2.62,2.71,2.57,2.64
2674,2015-02-10,2.69,2.75,2.69,2.69
2673,2015-02-11,2.66,2.73,2.66,2.73
2672,2015-02-12,2.77,2.8,2.71,2.73
2671,2015-02-13,2.71,2.75,2.69,2.75
2670,2015-02-24,2.8,2.8,2.71,2.77
2669,2015-02-25,2.73,2.75,2.69,2.71
2668,2015-02-26,2.69,2.71,2.66,2.71
2667,2015-02-27,2.71,2.73,2.69,2.71
2666,2015-03-02,2.69,2.71,2.66,2.69
2665,2015-03-03,2.64,2.71,2.64,2.69
2664,2015-03-04,2.64,2.71,2.64,2.69
2663,2015-03-05,2.71,2.73,2.69,2.71
2662,2015-03-06,2.71,2.71,2.69,2.71
2661,2015-03-09,2.69,2.71,2.69,2.69
2660,2015-03-10,2.66,2.69,2.66,2.69
2659,2015-03-11,2.66,2.69,2.66,2.69
2658,2015-03-12,2.69,2.69,2.66,2.66
2657,2015-03-13,2.69,2.69,2.66,2.66
2656,2015-03-16,2.66,2.69,2.66,2.66
2655,2015-03-17,2.69,2.69,2.64,2.64
2654,2015-03-18,2.69,2.69,2.64,2.69
2653,2015-03-19,2.66,2.69,2.66,2.69
2652,2015-03-20,2.64,2.66,2.64,2.66
2651,2015-03-23,2.69,2.69,2.66,2.66
2650,2015-03-24,2.64,2.64,2.64,2.64
2649,2015-03-25,2.64,2.66,2.6,2.64
2648,2015-03-26,2.62,2.64,2.62,2.64
2647,2015-03-27,2.64,2.64,2.6,2.64
2646,2015-03-30,2.64,2.64,2.6,2.64
2645,2015-03-31,2.6,2.75,2.6,2.75
2644,2015-04-01,2.73,2.89,2.73,2.82
2643,2015-04-02,2.77,2.82,2.77,2.82
2642,2015-04-03,2.82,2.82,2.77,2.8
2641,2015-04-06,2.8,2.8,2.69,2.69
2640,2015-04-07,2.69,2.75,2.69,2.75
2639,2015-04-08,2.75,2.75,2.69,2.73
2638,2015-04-09,2.71,2.75,2.71,2.75
2637,2015-04-10,2.75,2.84,2.75,2.84
2636,2015-04-13,2.8,2.84,2.8,2.8
2635,2015-04-14,2.8,2.84,2.73,2.84
2634,2015-04-15,2.84,2.84,2.82,2.82
2633,2015-04-16,2.8,2.8,2.75,2.8
2632,2015-04-17,2.8,2.8,2.77,2.8
2631,2015-04-20,2.75,2.82,2.75,2.77
2630,2015-04-21,2.77,2.8,2.75,2.75
2629,2015-04-22,2.75,2.75,2.73,2.75
2628,2015-04-23,2.77,2.8,2.73,2.73
2627,2015-04-24,2.82,2.82,2.71,2.8
2626,2015-04-27,2.8,2.8,2.8,2.8
2625,2015-05-04,2.8,2.8,2.73,2.75
2624,2015-05-05,2.75,2.77,2.75,2.75
2623,2015-05-06,2.77,2.77,2.73,2.73
2622,2015-05-07,2.75,2.82,2.73,2.82
2621,2015-05-08,2.82,2.82,2.68,2.68
2620,2015-05-11,2.8,2.8,2.8,2.8
2619,2015-05-12,2.7,2.82,2.7,2.82
2618,2015-05-13,2.7,2.7,2.7,2.7
2617,2015-05-14,2.7,2.7,2.65,2.65
2616,2015-05-15,2.61,2.61,2.61,2.61
2615,2015-05-18,2.63,2.63,2.61,2.61
2614,2015-05-19,2.58,2.58,2.58,2.58
2613,2015-05-20,2.58,2.75,2.58,2.75
2612,2015-05-21,2.75,2.82,2.75,2.77
2611,2015-05-22,2.77,2.8,2.58,2.77
2610,2015-05-25,2.75,2.8,2.75,2.8
2609,2015-05-26,2.75,2.8,2.75,2.77
2608,2015-05-27,2.8,2.8,2.75,2.75
2607,2015-05-28,2.77,2.77,2.7,2.7
2606,2015-05-29,2.7,2.77,2.7,2.73
2605,2015-06-01,2.7,2.75,2.7,2.73
2604,2015-06-02,2.7,2.75,2.7,2.75
2603,2015-06-03,2.73,2.82,2.73,2.8
2602,2015-06-04,2.82,2.87,2.82,2.82
2601,2015-06-05,2.8,2.87,2.8,2.84
2600,2015-06-08,2.82,2.91,2.82,2.87
2599,2015-06-09,2.84,2.91,2.84,2.91
2598,2015-06-10,2.91,2.91,2.87,2.87
2597,2015-06-11,2.87,2.91,2.87,2.87
2596,2015-06-12,2.87,2.91,2.87,2.89
2595,2015-06-15,2.87,2.91,2.84,2.91
2594,2015-06-16,2.91,2.91,2.87,2.87
2593,2015-06-17,2.91,2.91,2.87,2.89
2592,2015-06-18,2.89,2.94,2.89,2.91
2591,2015-06-19,2.91,2.94,2.89,2.94
2590,2015-06-22,2.89,2.94,2.89,2.91
2589,2015-06-23,2.91,2.91,2.87,2.89
2588,2015-06-24,2.87,2.89,2.87,2.87
2587,2015-06-25,2.87,2.87,2.84,2.84
2586,2015-06-26,2.87,2.96,2.87,2.94
2585,2015-06-29,2.94,2.96,2.91,2.96
2584,2015-06-30,2.91,2.94,2.91,2.91
2583,2015-07-01,3.0,3.05,2.95,3.05
2582,2015-07-02,3.0,3.11,3.0,3.11
2581,2015-07-03,3.05,3.18,3.05,3.16
2580,2015-07-06,3.13,3.16,3.11,3.16
2579,2015-07-07,3.11,3.18,3.11,3.16
2578,2015-07-08,3.26,3.37,3.26,3.37
2577,2015-07-09,3.47,3.58,3.39,3.58
2576,2015-07-10,3.63,3.82,3.58,3.58
2575,2015-07-13,3.58,3.61,3.55,3.58
2574,2015-07-14,3.5,3.61,3.47,3.58
2573,2015-07-15,3.55,3.79,3.55,3.58
2572,2015-07-16,3.55,3.68,3.55,3.66
2571,2015-07-17,3.61,3.66,3.61,3.61
2570,2015-07-20,3.58,3.63,3.47,3.58
2569,2015-07-21,3.55,3.58,3.5,3.58
2568,2015-07-22,3.5,3.66,3.5,3.66
2567,2015-07-23,3.68,3.82,3.63,3.76
2566,2015-07-24,3.76,3.76,3.68,3.74
2565,2015-07-27,3.68,3.84,3.68,3.76
2564,2015-07-28,3.71,3.76,3.63,3.63
2563,2015-07-29,3.68,3.71,3.63,3.66
2562,2015-07-30,3.61,3.68,3.61,3.68
2561,2015-07-31,3.66,3.84,3.63,3.76
2560,2015-08-03,3.71,3.74,3.66,3.71
2559,2015-08-04,3.71,3.74,3.63,3.71
2558,2015-08-05,3.68,3.74,3.66,3.68
2557,2015-08-06,3.68,3.71,3.63,3.63
2556,2015-08-07,3.61,3.63,3.58,3.58
2555,2015-08-10,3.58,3.71,3.55,3.71
2554,2015-08-11,3.68,3.74,3.66,3.68
2553,2015-08-12,3.68,3.68,3.61,3.66
2552,2015-08-13,3.71,3.71,3.61,3.66
2551,2015-08-14,3.63,3.68,3.61,3.68
2550,2015-08-17,3.66,3.68,3.58,3.63
2549,2015-08-18,3.58,3.63,3.58,3.61
2548,2015-08-19,3.61,3.68,3.58,3.66
2547,2015-08-20,3.66,3.66,3.55,3.61
2546,2015-08-21,3.55,3.55,3.39,3.45
2545,2015-08-24,3.42,3.42,3.21,3.21
2544,2015-08-25,3.05,3.26,3.05,3.24
2543,2015-08-26,3.21,3.29,3.18,3.29
2542,2015-08-27,3.29,3.32,3.24,3.32
2541,2015-08-28,3.24,3.42,3.24,3.37
2540,2015-08-31,3.37,3.37,3.26,3.29
2539,2015-09-01,3.24,3.32,3.24,3.29
2538,2015-09-03,3.24,3.29,3.24,3.26
2537,2015-09-04,3.26,3.34,3.26,3.26
2536,2015-09-07,3.21,3.29,3.21,3.26
2535,2015-09-08,3.26,3.32,3.24,3.26
2534,2015-09-09,3.24,3.29,3.24,3.24
2533,2015-09-10,3.24,3.34,3.24,3.26
2532,2015-09-11,3.24,3.26,3.21,3.26
2531,2015-09-14,3.26,3.29,3.18,3.26
2530,2015-09-15,3.21,3.29,3.21,3.29
2529,2015-09-16,3.21,3.29,3.21,3.21
2528,2015-09-17,3.24,3.24,3.18,3.21
2527,2015-09-18,3.21,3.42,3.21,3.26
2526,2015-09-21,3.29,3.29,3.21,3.29
2525,2015-09-22,3.26,3.29,3.24,3.29
2524,2015-09-23,3.24,3.29,3.21,3.26
2523,2015-09-24,3.26,3.26,3.21,3.21
2522,2015-09-25,3.21,3.24,3.16,3.21
2521,2015-09-28,3.18,3.24,3.16,3.21
2520,2015-09-29,3.21,3.21,3.16,3.18
2519,2015-09-30,3.16,3.21,3.16,3.18
2518,2015-10-01,3.16,3.21,3.16,3.18
2517,2015-10-02,3.18,3.18,3.16,3.18
2516,2015-10-05,3.18,3.21,3.18,3.21
2515,2015-10-06,3.16,3.32,3.16,3.26
2514,2015-10-07,3.21,3.24,3.21,3.21
2513,2015-10-08,3.21,3.24,3.18,3.21
2512,2015-10-09,3.21,3.29,3.18,3.21
2511,2015-10-12,3.29,3.29,3.21,3.26
2510,2015-10-13,3.24,3.29,3.24,3.26
2509,2015-10-14,3.26,3.45,3.24,3.42
2508,2015-10-15,3.42,3.47,3.37,3.47
