,Date,Open,High,Low,Close
2573,2015-06-23,9.26,9.26,7.1,7.1
2572,2015-06-24,7.33,7.57,6.76,6.76
2571,2015-06-25,7.18,7.22,6.95,7.22
2570,2015-06-26,7.37,7.37,6.76,6.76
2569,2015-06-29,6.37,6.37,6.33,6.33
2568,2015-06-30,6.33,6.33,6.02,6.02
2567,2015-07-01,6.41,6.41,6.41,6.41
2566,2015-07-02,6.6,6.6,6.6,6.6
2565,2015-07-03,6.76,6.76,6.49,6.49
2564,2015-07-06,6.49,6.49,6.49,6.49
2563,2015-07-07,6.41,6.49,6.41,6.41
2562,2015-07-08,6.56,6.56,6.56,6.56
2561,2015-07-09,6.37,6.37,6.37,6.37
2560,2015-07-10,6.37,6.41,6.37,6.37
2559,2015-07-13,6.37,6.6,6.18,6.56
2558,2015-07-14,6.22,6.56,6.22,6.56
2557,2015-07-15,6.25,6.56,6.14,6.56
2556,2015-07-16,6.56,6.56,6.56,6.56
2555,2015-07-17,6.18,6.76,6.18,6.76
2554,2015-07-20,6.76,6.76,6.76,6.76
2553,2015-07-21,6.95,6.95,6.56,6.76
2552,2015-07-22,6.56,6.72,6.56,6.72
2551,2015-07-23,6.72,6.72,6.72,6.72
2550,2015-07-24,6.72,6.72,6.72,6.72
2549,2015-07-27,6.72,6.72,6.72,6.72
2548,2015-07-28,6.56,6.56,6.56,6.56
2547,2015-07-29,6.56,6.56,6.56,6.56
2546,2015-07-30,6.56,6.56,6.25,6.56
2545,2015-07-31,6.64,6.95,6.6,6.76
2544,2015-08-03,6.33,6.33,6.33,6.33
2543,2015-08-04,6.56,6.56,6.02,6.02
2542,2015-08-05,6.41,6.41,6.22,6.25
2541,2015-08-06,6.25,6.25,6.25,6.25
2540,2015-08-07,6.18,6.56,6.18,6.18
2539,2015-08-10,6.45,6.49,6.45,6.49
2538,2015-08-11,6.49,6.56,6.49,6.49
2537,2015-08-12,6.56,6.64,6.56,6.56
2536,2015-08-13,6.72,6.76,6.49,6.52
2535,2015-08-14,6.52,6.52,6.52,6.52
2534,2015-08-17,6.49,6.49,6.49,6.49
2533,2015-08-18,6.49,6.49,6.49,6.49
2532,2015-08-19,6.49,6.49,6.49,6.49
2531,2015-08-20,6.37,6.49,6.37,6.49
2530,2015-08-21,6.37,6.49,6.37,6.37
2529,2015-08-24,6.41,6.41,6.33,6.33
2528,2015-08-25,6.33,6.33,6.33,6.33
2527,2015-08-26,6.29,6.56,6.29,6.56
2526,2015-08-27,6.56,6.56,6.56,6.56
2525,2015-08-28,6.49,6.49,6.49,6.49
2524,2015-08-31,6.49,6.49,6.49,6.49
2523,2015-09-01,6.64,6.76,6.52,6.52
2522,2015-09-03,6.37,6.37,6.37,6.37
2521,2015-09-04,6.33,6.56,6.18,6.56
2520,2015-09-07,6.68,6.68,6.68,6.68
2519,2015-09-08,6.68,6.68,6.64,6.64
2518,2015-09-09,6.41,6.68,6.41,6.52
2517,2015-09-10,6.41,6.52,6.41,6.52
2516,2015-09-11,6.37,6.68,6.37,6.49
2515,2015-09-14,6.41,6.52,6.41,6.52
2514,2015-09-15,6.49,6.64,6.33,6.64
2513,2015-09-16,6.64,6.64,6.6,6.6
2512,2015-09-17,6.56,6.56,6.45,6.52
2511,2015-09-18,6.45,6.45,6.41,6.41
2510,2015-09-21,6.56,6.56,6.41,6.52
2509,2015-09-22,6.56,6.56,6.56,6.56
2508,2015-09-23,6.52,6.52,6.49,6.52
2507,2015-09-24,6.52,6.52,6.45,6.45
2506,2015-09-25,6.37,6.56,6.37,6.56
2505,2015-09-28,6.56,6.56,6.56,6.56
2504,2015-09-29,6.56,6.56,6.56,6.56
2503,2015-09-30,6.56,6.56,6.18,6.18
2502,2015-10-01,6.56,6.56,6.56,6.56
2501,2015-10-02,6.64,6.64,6.49,6.49
2500,2015-10-05,6.18,6.49,6.49,6.49
2499,2015-10-06,6.18,6.37,6.02,6.37
2498,2015-10-07,6.45,6.45,6.45,6.45
2497,2015-10-08,6.6,6.6,6.6,6.6
2496,2015-10-09,6.18,6.29,6.18,6.22
2495,2015-10-12,6.22,6.22,6.22,6.22
2494,2015-10-13,6.64,6.64,6.64,6.64
2493,2015-10-14,6.64,6.64,6.29,6.29
2492,2015-10-15,6.37,6.37,6.37,6.37
2491,2015-10-16,6.37,6.52,6.22,6.52
2490,2015-10-19,6.52,6.52,6.52,6.52
2489,2015-10-20,6.52,6.52,6.52,6.52
2488,2015-10-21,6.52,6.52,6.52,6.52
2487,2015-10-22,6.41,6.41,6.41,6.41
2486,2015-10-23,6.56,6.56,6.56,6.56
2485,2015-10-26,6.18,6.52,6.18,6.52
2484,2015-10-27,6.52,6.52,6.52,6.52
2483,2015-10-28,6.52,6.52,6.37,6.37
2482,2015-10-29,6.37,6.37,6.29,6.29
2481,2015-10-30,6.37,6.37,6.37,6.37
2480,2015-11-02,6.37,6.37,6.37,6.37
2479,2015-11-03,6.37,6.37,6.37,6.37
2478,2015-11-04,6.52,6.52,6.52,6.52
2477,2015-11-05,6.25,6.52,6.18,6.52
2476,2015-11-06,6.25,6.25,6.18,6.25
2475,2015-11-09,6.45,6.45,6.37,6.37
2474,2015-11-10,6.37,6.37,6.37,6.37
2473,2015-11-11,6.37,6.37,6.37,6.37
2472,2015-11-12,6.18,6.37,6.18,6.29
2471,2015-11-13,6.33,6.37,6.33,6.37
2470,2015-11-16,6.37,6.37,6.37,6.37
2469,2015-11-17,6.29,6.29,6.29,6.29
2468,2015-11-18,6.25,6.29,6.22,6.29
2467,2015-11-19,6.33,6.37,6.33,6.37
2466,2015-11-20,6.37,6.37,6.37,6.37
2465,2015-11-23,6.37,6.37,6.37,6.37
2464,2015-11-24,6.37,6.37,6.37,6.37
2463,2015-11-25,6.37,6.37,6.37,6.37
2462,2015-11-26,6.37,6.49,6.37,6.49
2461,2015-11-27,6.49,6.49,6.49,6.49
