,Date,Open,High,Low,Close
2700,2015-01-05,9.32,9.43,9.23,9.38
2699,2015-01-06,9.38,9.99,9.38,9.99
2698,2015-01-07,10.02,10.17,9.73,9.88
2697,2015-01-08,9.9,10.29,9.88,10.17
2696,2015-01-09,10.26,10.87,10.26,10.85
2695,2015-01-12,10.87,11.11,10.79,10.93
2694,2015-01-13,10.87,10.96,10.73,10.87
2693,2015-01-14,10.82,11.2,10.82,10.99
2692,2015-01-15,10.93,11.11,10.82,10.82
2691,2015-01-16,10.82,10.82,10.61,10.67
2690,2015-01-19,10.7,10.93,10.4,10.4
2689,2015-01-20,10.4,10.61,10.38,10.58
2688,2015-01-21,10.58,10.58,10.4,10.4
2687,2015-01-22,10.4,10.85,10.26,10.64
2686,2015-01-23,10.73,11.17,10.67,10.9
2685,2015-01-26,10.9,11.02,10.76,10.76
2684,2015-01-27,10.73,10.82,10.43,10.67
2683,2015-01-28,10.67,11.05,10.58,10.99
2682,2015-01-29,10.99,10.99,10.82,10.85
2681,2015-01-30,10.82,10.82,10.46,10.49
2680,2015-02-02,10.43,10.61,10.4,10.49
2679,2015-02-03,10.46,10.52,9.79,9.79
2678,2015-02-04,9.55,9.79,9.38,9.73
2677,2015-02-05,9.85,10.29,9.85,10.26
2676,2015-02-06,10.29,10.58,10.29,10.58
2675,2015-02-09,10.52,10.79,10.43,10.64
2674,2015-02-10,10.7,10.85,10.67,10.7
2673,2015-02-11,10.7,10.96,10.67,10.9
2672,2015-02-12,10.99,10.99,10.67,10.67
2671,2015-02-13,10.67,10.82,10.67,10.73
2670,2015-02-24,10.87,11.46,10.79,11.46
2669,2015-02-25,11.43,11.73,11.2,11.2
2668,2015-02-26,11.32,11.73,11.29,11.58
2667,2015-02-27,11.61,11.61,11.14,11.29
2666,2015-03-02,11.26,11.37,11.08,11.29
2665,2015-03-03,11.26,11.46,11.17,11.32
2664,2015-03-04,11.4,11.4,11.2,11.4
2663,2015-03-05,11.37,11.37,11.14,11.14
2662,2015-03-06,11.11,11.17,10.79,10.96
2661,2015-03-09,10.96,10.96,10.61,10.7
2660,2015-03-10,10.61,10.87,10.61,10.82
2659,2015-03-11,10.82,10.85,10.7,10.73
2658,2015-03-12,10.7,10.85,10.7,10.82
2657,2015-03-13,10.87,10.99,10.79,10.79
2656,2015-03-16,10.29,10.67,10.29,10.38
2655,2015-03-17,10.43,10.61,10.43,10.49
2654,2015-03-18,10.46,10.55,10.38,10.52
2653,2015-03-19,10.46,10.46,10.38,10.43
2652,2015-03-20,10.38,10.7,10.38,10.58
2651,2015-03-23,10.58,10.64,10.32,10.35
