,Date,Open,High,Low,Close
2076,2017-07-07,9.87,9.87,9.87,9.87
2075,2017-07-10,10.56,10.56,9.94,10.3
2074,2017-07-11,10.32,10.32,9.94,10.11
2073,2017-07-12,10.11,10.27,10.04,10.15
2072,2017-07-13,10.13,10.13,9.99,9.99
2071,2017-07-14,9.96,10.04,9.82,9.84
2070,2017-07-17,9.92,10.11,9.8,9.98
2069,2017-07-18,9.94,9.98,9.87,9.87
2068,2017-07-19,9.94,9.99,9.86,9.89
2067,2017-07-20,9.91,9.94,9.86,9.91
2066,2017-07-21,9.91,9.94,9.87,9.89
2065,2017-07-24,9.89,9.91,9.89,9.89
2064,2017-07-25,9.86,9.94,9.82,9.86
2063,2017-07-26,9.89,10.2,9.87,10.1
2062,2017-07-27,10.18,10.52,10.1,10.28
2061,2017-07-28,10.46,10.52,10.28,10.46
2060,2017-07-31,10.37,10.49,10.37,10.46
2059,2017-08-01,10.46,10.46,10.28,10.28
2058,2017-08-02,10.28,10.46,10.25,10.28
2057,2017-08-03,10.3,10.47,10.3,10.46
2056,2017-08-04,10.46,10.46,10.37,10.39
2055,2017-08-07,10.39,10.49,10.39,10.46
2054,2017-08-08,10.46,10.46,10.34,10.37
2053,2017-08-09,10.3,10.44,10.2,10.28
2052,2017-08-10,10.15,10.37,10.13,10.3
2051,2017-08-11,10.27,10.34,10.27,10.3
2050,2017-08-14,10.37,10.37,10.2,10.28
2049,2017-08-15,10.46,10.46,9.94,10.28
2048,2017-08-16,10.11,10.32,10.11,10.28
2047,2017-08-17,10.28,10.3,10.2,10.28
2046,2017-08-18,10.27,10.28,10.27,10.28
2045,2017-08-21,10.28,10.35,10.25,10.28
2044,2017-08-22,10.28,10.28,10.23,10.27
2043,2017-08-23,10.28,10.28,10.23,10.25
2042,2017-08-24,10.27,10.27,10.23,10.27
2041,2017-08-25,10.23,10.27,10.2,10.23
2040,2017-08-28,10.2,10.23,10.16,10.16
2039,2017-08-29,10.15,10.2,10.11,10.16
2038,2017-08-30,10.16,10.16,10.11,10.16
2037,2017-08-31,10.16,10.16,10.11,10.15
2036,2017-09-01,10.2,10.2,10.15,10.15
2035,2017-09-05,10.11,10.13,10.08,10.11
2034,2017-09-06,10.08,10.08,9.94,9.94
2033,2017-09-07,9.94,9.94,9.86,9.87
2032,2017-09-08,9.99,9.99,9.84,9.84
2031,2017-09-11,9.86,9.86,9.46,9.46
2030,2017-09-12,9.44,9.63,9.44,9.6
2029,2017-09-13,9.6,9.92,9.56,9.92
2028,2017-09-14,9.77,9.79,9.65,9.65
2027,2017-09-15,9.65,9.67,9.51,9.51
2026,2017-09-18,9.51,9.6,9.43,9.6
2025,2017-09-19,9.6,9.6,9.51,9.58
2024,2017-09-20,9.6,9.79,9.58,9.68
2023,2017-09-21,9.68,9.68,9.55,9.6
2022,2017-09-22,9.6,9.74,9.6,9.68
2021,2017-09-25,9.67,9.68,9.53,9.67
2020,2017-09-26,9.68,10.01,9.63,9.98
2019,2017-09-27,9.98,10.08,9.91,10.01
2018,2017-09-28,10.08,10.2,10.01,10.1
2017,2017-09-29,10.11,10.25,10.11,10.23
2016,2017-10-02,10.28,10.28,9.98,9.98
2015,2017-10-03,10.11,10.11,9.94,9.96
2014,2017-10-04,9.94,10.11,9.94,10.11
2013,2017-10-05,10.03,10.13,10.03,10.11
2012,2017-10-06,10.15,10.15,10.03,10.1
2011,2017-10-09,10.11,10.2,10.11,10.13
2010,2017-10-10,10.18,10.18,10.13,10.15
2009,2017-10-11,10.16,10.18,10.15,10.18
2008,2017-10-12,10.2,10.46,10.2,10.46
2007,2017-10-13,10.54,10.87,10.54,10.8
2006,2017-10-16,11.0,11.31,10.82,11.31
2005,2017-10-17,11.47,11.48,10.97,11.11
2004,2017-10-18,11.14,11.14,10.88,10.88
2003,2017-10-19,11.04,11.04,10.8,11.0
2002,2017-10-20,10.95,10.99,10.8,10.94
2001,2017-10-23,10.88,10.95,10.8,10.8
2000,2017-10-24,10.63,10.83,10.63,10.83
1999,2017-10-25,11.04,11.04,10.83,10.83
1998,2017-10-26,10.68,11.12,10.68,10.71
1997,2017-10-27,10.71,10.8,10.63,10.8
1996,2017-10-30,10.83,10.97,10.64,10.73
1995,2017-10-31,10.73,10.88,10.71,10.73
1994,2017-11-01,10.73,10.78,10.71,10.73
1993,2017-11-02,10.87,10.87,10.73,10.73
1992,2017-11-03,10.73,10.95,10.73,10.73
1991,2017-11-06,10.8,11.12,10.75,11.12
1990,2017-11-07,11.23,11.23,11.12,11.12
1989,2017-11-08,10.82,11.12,10.82,11.11
1988,2017-11-09,11.11,11.14,11.06,11.12
1987,2017-11-10,10.82,11.18,10.82,11.14
1986,2017-11-13,11.12,11.28,11.12,11.14
1985,2017-11-14,11.14,11.91,10.99,11.91
1984,2017-11-15,12.08,12.34,11.69,12.17
1983,2017-11-16,11.76,12.34,11.76,12.34
1982,2017-11-17,12.03,12.51,12.02,12.26
1981,2017-11-20,12.02,12.26,12.0,12.26
1980,2017-11-21,12.26,12.34,12.08,12.17
1979,2017-11-22,12.17,12.34,12.0,12.34
1978,2017-11-23,12.34,12.34,12.07,12.26
1977,2017-11-24,12.26,12.32,12.17,12.17
1976,2017-11-27,12.34,12.51,12.1,12.12
1975,2017-11-28,12.14,12.32,12.08,12.17
1974,2017-11-29,12.12,12.34,12.0,12.08
1973,2017-11-30,12.32,12.32,12.17,12.22
1972,2017-12-01,12.2,12.22,12.17,12.17
1971,2017-12-04,12.17,12.32,12.17,12.32
1970,2017-12-05,12.36,12.86,12.32,12.84
1969,2017-12-06,12.84,12.84,12.51,12.6
1968,2017-12-07,12.51,12.51,12.38,12.5
1967,2017-12-08,12.43,12.6,12.43,12.51
1966,2017-12-11,12.08,12.65,12.08,12.26
1965,2017-12-12,12.17,12.26,12.08,12.26
1964,2017-12-13,12.68,12.68,12.17,12.34
1963,2017-12-14,12.34,12.58,12.32,12.32
1962,2017-12-15,12.32,12.34,12.19,12.34
1961,2017-12-18,12.51,12.51,12.34,12.43
1960,2017-12-19,12.5,12.84,12.5,12.84
1959,2017-12-20,12.84,12.84,12.51,12.53
1958,2017-12-21,12.53,12.75,12.53,12.55
1957,2017-12-22,12.55,12.55,12.34,12.5
1956,2017-12-25,12.86,12.86,12.36,12.43
1955,2017-12-26,12.43,12.58,12.43,12.44
1954,2017-12-27,12.44,12.63,12.44,12.53
1953,2017-12-28,12.68,12.77,12.6,12.7
1952,2017-12-29,12.77,13.37,12.7,13.37
1951,2018-01-02,13.37,14.06,13.37,13.82
1950,2018-01-03,14.23,14.26,13.88,14.23
1949,2018-01-04,14.23,14.57,14.23,14.55
1948,2018-01-05,14.4,14.4,14.23,14.26
1947,2018-01-08,14.24,14.57,14.06,14.48
1946,2018-01-09,14.54,14.54,14.23,14.23
1945,2018-01-10,14.07,14.23,13.71,13.97
1944,2018-01-11,13.88,13.97,13.68,13.78
1943,2018-01-12,13.71,14.06,13.54,13.54
1942,2018-01-15,13.54,14.14,13.37,14.14
1941,2018-01-16,13.88,14.06,13.73,14.06
1940,2018-01-17,13.64,14.14,13.64,13.68
1939,2018-01-18,13.46,13.71,13.46,13.71
1938,2018-01-19,14.12,14.23,13.54,13.9
1937,2018-01-22,13.92,14.31,13.9,14.19
1936,2018-01-23,14.19,14.19,14.19,14.19
1935,2018-01-24,14.19,14.19,14.19,14.19
1934,2018-01-25,14.57,14.74,14.48,14.72
1933,2018-01-26,14.74,15.26,14.57,14.93
1932,2018-01-29,15.34,15.44,15.08,15.19
1931,2018-01-30,15.19,15.43,15.14,15.43
1930,2018-01-31,15.41,15.6,14.78,15.43
1929,2018-02-01,15.41,15.41,14.91,14.91
1928,2018-02-02,14.91,15.08,14.74,14.95
1927,2018-02-05,14.95,14.95,14.06,14.06
1926,2018-02-06,13.1,13.54,13.08,13.11
1925,2018-02-07,13.37,13.97,13.37,13.71
1924,2018-02-08,13.71,13.8,13.54,13.71
1923,2018-02-09,12.77,13.71,12.77,13.71
1922,2018-02-12,13.97,13.97,13.54,13.71
1921,2018-02-13,13.71,13.75,13.63,13.64
1920,2018-02-21,13.63,14.57,13.37,13.88
1919,2018-02-22,14.06,14.4,14.0,14.06
1918,2018-02-23,14.4,14.91,14.06,14.06
1917,2018-02-26,14.06,14.55,13.94,14.23
1916,2018-02-27,14.23,14.23,14.09,14.23
1915,2018-02-28,13.9,14.91,13.9,14.78
1914,2018-03-01,15.15,15.15,14.74,14.91
1913,2018-03-02,14.91,15.6,14.57,15.43
1912,2018-03-05,15.43,15.77,15.26,15.53
1911,2018-03-06,15.1,15.46,15.1,15.44
1910,2018-03-07,15.6,15.6,15.43,15.44
1909,2018-03-08,15.44,16.28,15.17,15.63
1908,2018-03-09,15.62,15.94,15.46,15.46
1907,2018-03-12,15.46,15.77,15.43,15.5
1906,2018-03-13,15.43,15.51,15.08,15.51
1905,2018-03-14,15.51,15.51,15.2,15.27
1904,2018-03-15,15.22,15.43,15.22,15.27
1903,2018-03-16,15.27,16.34,15.26,16.34
1902,2018-03-19,16.46,17.26,16.46,17.24
1901,2018-03-20,16.63,17.4,16.63,17.24
1900,2018-03-21,17.31,18.34,17.24,17.83
1899,2018-03-22,18.34,18.34,17.83,18.26
1898,2018-03-23,17.16,18.43,17.16,18.32
1897,2018-03-26,18.32,18.68,18.32,18.43
1896,2018-03-27,18.51,18.51,18.0,18.0
1895,2018-03-28,18.05,18.51,18.05,18.51
1894,2018-03-29,18.51,18.51,18.34,18.5
1893,2018-03-30,18.51,18.53,18.34,18.51
1892,2018-04-02,18.51,19.8,18.51,19.8
1891,2018-04-03,20.57,20.57,19.88,20.06
1890,2018-04-04,20.57,20.57,19.97,20.04
1889,2018-04-05,20.4,20.4,19.99,20.06
1888,2018-04-06,19.88,20.55,19.88,20.23
1887,2018-04-09,19.92,20.48,19.88,19.88
1886,2018-04-10,19.73,20.06,19.71,19.71
1885,2018-04-11,19.71,20.14,19.1,19.2
1884,2018-04-12,18.68,19.2,18.6,19.2
1883,2018-04-13,19.03,19.54,18.34,18.53
1882,2018-04-16,18.8,18.94,18.48,18.48
1881,2018-04-17,18.48,19.03,18.48,18.72
1880,2018-04-18,18.68,18.86,18.51,18.56
1879,2018-04-19,18.56,18.56,17.93,18.17
1878,2018-04-20,18.03,18.17,17.84,18.02
1877,2018-04-23,18.05,18.05,16.76,16.8
1876,2018-04-24,16.8,16.8,15.94,16.28
1875,2018-04-26,16.28,16.46,15.19,15.19
1874,2018-04-27,15.19,15.94,15.15,15.94
1873,2018-05-02,15.94,15.94,15.6,15.6
1872,2018-05-03,15.6,15.94,14.74,15.77
1871,2018-05-04,16.11,16.11,15.56,16.01
1870,2018-05-07,16.18,16.46,15.94,16.46
1869,2018-05-08,16.2,17.35,16.2,17.16
1868,2018-05-09,16.8,17.95,16.8,17.66
1867,2018-05-10,17.66,17.66,17.18,17.48
1866,2018-05-11,17.48,17.48,16.46,17.48
1865,2018-05-14,17.83,17.83,17.14,17.4
1864,2018-05-15,17.36,17.62,17.14,17.48
1863,2018-05-16,17.48,17.48,17.16,17.16
1862,2018-05-17,16.88,17.16,16.71,16.71
1861,2018-05-18,16.32,17.14,16.32,17.14
1860,2018-05-21,17.16,17.16,16.97,17.0
1859,2018-05-22,16.8,16.8,15.82,15.86
1858,2018-05-23,15.44,15.94,15.26,15.43
1857,2018-05-24,16.01,16.01,15.43,15.94
1856,2018-05-25,15.51,15.94,15.29,15.7
1855,2018-05-28,15.26,15.51,14.6,14.6
1854,2018-05-29,14.24,15.24,13.59,14.6
1853,2018-05-30,14.6,15.08,13.88,15.08
1852,2018-05-31,14.67,15.26,14.57,15.26
1851,2018-06-01,14.76,15.6,14.76,15.6
1850,2018-06-04,15.6,15.94,15.58,15.77
1849,2018-06-05,15.77,15.86,15.6,15.8
1848,2018-06-06,15.8,16.01,15.8,15.8
1847,2018-06-07,15.92,15.94,15.77,15.79
1846,2018-06-08,15.6,15.82,15.51,15.79
1845,2018-06-11,15.44,16.03,15.44,15.98
1844,2018-06-12,15.7,15.77,15.17,15.43
1843,2018-06-13,15.43,15.67,15.34,15.67
1842,2018-06-14,15.75,16.03,15.6,16.03
1841,2018-06-15,16.46,16.46,16.03,16.11
1840,2018-06-18,15.94,15.94,15.26,15.26
1839,2018-06-19,14.57,15.05,14.19,14.19
1838,2018-06-20,14.4,14.4,13.71,14.3
1837,2018-06-21,13.92,14.23,13.92,14.23
1836,2018-06-22,14.23,14.71,14.14,14.71
1835,2018-06-25,14.71,14.74,14.4,14.74
1834,2018-06-26,14.57,14.74,14.4,14.72
1833,2018-06-27,14.69,14.74,14.48,14.48
1832,2018-06-28,14.14,14.4,13.94,14.06
1831,2018-06-29,14.06,14.67,13.99,14.14
1830,2018-07-02,14.14,14.14,13.16,13.16
1829,2018-07-03,13.2,13.23,12.26,12.26
1828,2018-07-04,12.26,12.84,12.17,12.77
1827,2018-07-05,12.44,13.13,12.44,13.13
1826,2018-07-06,13.13,13.13,12.74,12.96
1825,2018-07-09,12.96,13.54,12.86,13.03
1824,2018-07-10,13.6,13.6,12.9,13.13
1823,2018-07-11,13.13,13.13,12.26,12.9
1822,2018-07-12,12.36,12.9,12.31,12.45
1821,2018-07-13,12.19,12.48,12.19,12.33
1820,2018-07-16,12.43,12.66,12.31,12.31
1819,2018-07-17,12.19,12.55,12.19,12.52
1818,2018-07-18,12.52,12.78,12.36,12.78
1817,2018-07-19,12.78,13.67,12.78,13.67
1816,2018-07-20,13.67,13.67,12.9,13.37
1815,2018-07-23,12.94,13.48,12.9,12.9
1814,2018-07-24,12.9,13.01,12.38,12.66
1813,2018-07-25,12.66,12.97,12.48,12.48
1812,2018-07-26,12.78,12.78,12.33,12.33
1811,2018-07-27,12.43,12.76,12.43,12.71
1810,2018-07-30,13.13,13.39,12.9,13.37
1809,2018-07-31,13.37,13.48,12.9,13.37
1808,2018-08-01,13.3,13.32,13.01,13.13
1807,2018-08-02,12.92,13.2,12.9,12.99
