,Date,Open,High,Low,Close
2700,2015-01-05,4.06,4.17,4.02,4.02
2699,2015-01-06,3.99,4.11,3.91,4.05
2698,2015-01-07,3.96,4.17,3.96,4.02
2697,2015-01-08,3.97,4.0,3.93,3.93
2696,2015-01-09,3.94,4.08,3.94,3.99
2695,2015-01-12,4.0,4.2,3.96,4.11
2694,2015-01-13,4.05,4.37,4.05,4.3
2693,2015-01-14,4.37,4.39,4.15,4.23
2692,2015-01-15,4.24,4.33,4.23,4.28
2691,2015-01-16,4.3,4.46,4.24,4.36
2690,2015-01-19,4.42,4.45,4.37,4.39
2689,2015-01-20,4.51,4.51,4.39,4.43
2688,2015-01-21,4.49,4.49,4.23,4.36
2687,2015-01-22,4.36,4.4,4.31,4.39
2686,2015-01-23,4.43,4.51,4.36,4.51
2685,2015-01-26,4.57,4.9,4.57,4.73
2684,2015-01-27,4.79,4.79,4.51,4.64
2683,2015-01-28,4.64,4.79,4.61,4.73
2682,2015-01-29,4.73,4.73,4.58,4.72
2681,2015-01-30,4.64,4.69,4.57,4.67
2680,2015-02-02,4.67,4.67,4.55,4.55
2679,2015-02-03,4.57,4.57,4.46,4.46
2678,2015-02-04,4.48,4.54,4.46,4.54
2677,2015-02-05,4.54,4.55,4.46,4.54
2676,2015-02-06,4.55,4.99,4.55,4.79
2675,2015-02-09,4.79,4.9,4.76,4.87
2674,2015-02-10,4.85,4.91,4.78,4.79
2673,2015-02-11,4.79,4.94,4.76,4.87
2672,2015-02-12,4.87,4.99,4.87,4.93
2671,2015-02-13,5.05,5.05,4.88,4.88
2670,2015-02-24,4.93,5.06,4.91,5.05
2669,2015-02-25,5.08,5.08,4.94,4.99
2668,2015-02-26,4.96,5.03,4.94,5.02
2667,2015-02-27,4.99,5.0,4.93,4.96
2666,2015-03-02,4.66,5.11,4.57,4.78
2665,2015-03-03,4.94,4.94,4.78,4.91
2664,2015-03-04,4.91,4.91,4.79,4.82
2663,2015-03-05,4.79,4.99,4.76,4.93
2662,2015-03-06,4.91,4.94,4.79,4.91
2661,2015-03-09,4.88,4.88,4.79,4.82
2660,2015-03-10,4.85,5.02,4.85,5.0
2659,2015-03-11,5.03,5.03,4.91,4.99
2658,2015-03-12,4.99,4.99,4.88,4.99
2657,2015-03-13,4.99,4.99,4.91,4.93
2656,2015-03-16,4.9,4.91,4.81,4.82
2655,2015-03-17,4.82,4.9,4.82,4.87
2654,2015-03-18,4.87,4.88,4.85,4.88
2653,2015-03-19,4.88,4.91,4.84,4.87
2652,2015-03-20,4.79,4.9,4.79,4.88
2651,2015-03-23,4.99,4.99,4.82,4.91
2650,2015-03-24,4.84,4.9,4.79,4.88
2649,2015-03-25,4.81,4.84,4.78,4.78
2648,2015-03-26,4.76,4.76,4.64,4.67
2647,2015-03-27,4.72,4.73,4.6,4.6
2646,2015-03-30,4.63,4.64,4.52,4.57
2645,2015-03-31,4.52,4.6,4.52,4.58
2644,2015-04-01,4.58,4.9,4.4,4.52
2643,2015-04-02,4.49,4.67,4.49,4.55
2642,2015-04-03,4.57,4.64,4.52,4.58
2641,2015-04-06,4.58,4.61,4.51,4.55
2640,2015-04-07,4.55,4.61,4.51,4.61
2639,2015-04-08,4.61,4.61,4.54,4.57
2638,2015-04-09,4.52,4.57,4.49,4.52
2637,2015-04-10,4.55,4.82,4.48,4.73
2636,2015-04-13,4.64,4.72,4.61,4.72
2635,2015-04-14,4.57,4.67,4.57,4.61
2634,2015-04-15,4.58,4.64,4.58,4.61
2633,2015-04-16,4.61,4.72,4.6,4.64
2632,2015-04-17,4.64,4.64,4.52,4.63
2631,2015-04-20,4.57,4.58,4.49,4.57
2630,2015-04-21,4.57,4.57,4.49,4.49
2629,2015-04-22,4.49,4.49,4.43,4.46
2628,2015-04-23,4.45,4.6,4.42,4.49
2627,2015-04-24,4.49,4.55,4.49,4.51
2626,2015-04-27,4.49,4.52,4.49,4.52
2625,2015-05-04,4.52,4.58,4.33,4.33
2624,2015-05-05,4.27,4.42,4.23,4.42
2623,2015-05-06,4.34,4.36,4.27,4.31
2622,2015-05-07,4.34,4.42,4.31,4.4
2621,2015-05-08,4.31,4.43,4.28,4.42
2620,2015-05-11,4.4,4.4,4.34,4.39
2619,2015-05-12,4.34,4.37,4.27,4.33
2618,2015-05-13,4.36,4.42,4.34,4.37
2617,2015-05-14,4.37,4.46,4.37,4.43
2616,2015-05-15,4.42,4.43,4.34,4.34
2615,2015-05-18,4.21,4.28,4.17,4.2
2614,2015-05-19,4.21,4.26,4.09,4.15
2613,2015-05-20,4.15,4.24,4.14,4.2
2612,2015-05-21,4.2,4.21,4.15,4.2
2611,2015-05-22,4.2,4.27,4.14,4.27
2610,2015-05-25,4.42,4.42,4.21,4.27
2609,2015-05-26,4.27,4.39,4.23,4.34
2608,2015-05-27,4.39,4.43,4.28,4.34
2607,2015-05-28,4.36,4.6,4.36,4.57
2606,2015-05-29,4.64,4.64,4.42,4.49
2605,2015-06-01,4.48,4.54,4.46,4.51
2604,2015-06-02,4.61,4.61,4.42,4.45
2603,2015-06-03,4.49,4.6,4.45,4.55
2602,2015-06-04,4.55,4.58,4.51,4.58
2601,2015-06-05,4.7,4.7,4.55,4.58
2600,2015-06-08,4.6,4.62,4.57,4.62
2599,2015-06-09,4.57,4.6,4.49,4.55
2598,2015-06-10,4.55,4.58,4.5,4.55
2597,2015-06-11,4.55,4.71,4.55,4.58
2596,2015-06-12,4.65,4.65,4.57,4.65
2595,2015-06-15,4.65,4.65,4.55,4.6
2594,2015-06-16,4.57,4.57,4.46,4.49
2593,2015-06-17,4.49,4.52,4.46,4.46
2592,2015-06-18,4.41,4.5,4.41,4.49
2591,2015-06-19,4.55,4.55,4.5,4.52
2590,2015-06-22,4.55,4.57,4.5,4.5
2589,2015-06-23,4.5,4.55,4.5,4.55
2588,2015-06-24,4.57,5.0,4.57,5.0
2587,2015-06-25,5.03,5.42,5.03,5.26
2586,2015-06-26,5.26,5.26,5.05,5.05
2585,2015-06-29,5.05,5.43,4.94,5.42
2584,2015-06-30,5.45,5.45,5.26,5.31
2583,2015-07-01,5.31,5.39,5.26,5.32
2582,2015-07-02,5.27,5.59,5.26,5.51
2581,2015-07-03,5.53,5.55,5.35,5.47
2580,2015-07-06,5.47,5.61,5.47,5.55
2579,2015-07-07,5.53,5.56,5.4,5.4
2578,2015-07-08,5.47,5.47,5.23,5.4
2577,2015-07-09,5.4,5.85,5.37,5.77
2576,2015-07-10,5.79,5.95,5.74,5.74
2575,2015-07-13,5.74,5.9,5.74,5.9
2574,2015-07-14,5.88,5.98,5.84,5.84
2573,2015-07-15,5.82,5.82,5.55,5.56
2572,2015-07-16,5.53,5.76,5.53,5.71
2571,2015-07-17,5.66,5.84,5.66,5.82
2570,2015-07-20,5.77,6.06,5.64,5.87
2569,2015-07-21,5.87,6.01,5.87,6.0
2568,2015-07-22,6.01,6.11,6.0,6.11
2567,2015-07-23,6.17,6.19,5.95,6.03
2566,2015-07-24,5.95,6.08,5.95,6.01
2565,2015-07-27,5.95,6.14,5.95,6.01
2564,2015-07-28,6.01,6.33,6.01,6.17
2563,2015-07-29,6.12,6.32,6.12,6.19
2562,2015-07-30,6.06,6.17,6.06,6.12
2561,2015-07-31,6.11,6.25,6.11,6.12
2560,2015-08-03,6.12,6.12,5.87,6.01
2559,2015-08-04,6.01,6.33,6.01,6.14
2558,2015-08-05,6.24,6.35,6.12,6.32
2557,2015-08-06,6.32,6.33,6.24,6.27
2556,2015-08-07,6.27,6.3,6.19,6.19
2555,2015-08-10,6.2,6.25,6.17,6.19
2554,2015-08-11,6.19,6.2,6.11,6.11
2553,2015-08-12,6.09,6.14,5.93,6.0
2552,2015-08-13,5.92,6.0,5.67,5.79
2551,2015-08-14,5.92,5.92,5.69,5.71
2550,2015-08-17,5.64,5.72,5.45,5.45
2549,2015-08-18,5.45,5.59,5.42,5.59
2548,2015-08-19,5.53,5.77,5.51,5.74
2547,2015-08-20,5.76,5.76,5.55,5.55
2546,2015-08-21,5.47,5.61,5.37,5.61
2545,2015-08-24,5.55,5.55,5.05,5.07
2544,2015-08-25,4.81,5.32,4.81,5.18
2543,2015-08-26,5.18,5.43,5.18,5.43
2542,2015-08-27,5.45,5.59,5.37,5.56
