,Date,Open,High,Low,Close
2497,2015-10-15,7.02,7.15,6.75,6.75
2496,2015-10-16,6.75,6.82,6.55,6.75
2495,2015-10-19,6.75,6.82,6.75,6.75
2494,2015-10-20,6.75,6.82,6.75,6.82
2493,2015-10-21,6.75,6.75,6.69,6.69
2492,2015-10-22,6.69,6.69,6.62,6.62
2491,2015-10-23,6.62,6.62,6.55,6.55
2490,2015-10-26,6.49,6.49,6.49,6.49
2489,2015-10-27,6.42,6.42,6.42,6.42
2488,2015-10-28,6.29,6.49,5.96,6.49
2487,2015-10-29,6.02,6.16,6.02,6.16
2486,2015-10-30,6.09,6.09,5.89,5.89
2485,2015-11-02,5.96,5.96,5.63,5.63
2484,2015-11-03,5.82,5.82,5.82,5.82
2483,2015-11-04,5.63,5.82,5.3,5.82
2482,2015-11-05,5.69,5.89,5.69,5.89
2481,2015-11-06,5.96,5.96,5.82,5.89
2480,2015-11-09,5.82,5.82,5.63,5.63
2479,2015-11-10,5.76,5.76,5.69,5.69
2478,2015-11-11,5.69,5.69,5.69,5.69
2477,2015-11-12,5.69,5.76,5.69,5.76
2476,2015-11-13,5.96,5.96,5.82,5.96
2475,2015-11-16,5.96,5.96,5.96,5.96
2474,2015-11-17,5.96,5.96,5.82,5.82
2473,2015-11-18,5.82,5.82,4.96,5.82
2472,2015-11-19,5.82,5.82,5.82,5.82
2471,2015-11-20,5.82,5.82,5.82,5.82
2470,2015-11-23,5.69,5.76,5.69,5.69
2469,2015-11-24,5.69,5.69,5.63,5.63
2468,2015-11-25,5.43,5.49,5.43,5.43
2467,2015-11-26,5.63,5.63,5.1,5.1
2466,2015-11-27,5.63,5.63,5.16,5.16
2465,2015-11-30,5.69,5.69,5.69,5.69
2464,2015-12-01,5.43,5.43,5.43,5.43
2463,2015-12-02,5.03,5.36,5.03,5.16
2462,2015-12-03,5.56,5.56,5.16,5.16
2461,2015-12-04,5.16,5.49,5.16,5.16
2460,2015-12-07,5.43,5.89,5.16,5.16
2459,2015-12-08,5.3,5.3,5.3,5.3
2458,2015-12-09,5.1,5.43,5.1,5.16
2457,2015-12-10,5.23,5.23,5.16,5.16
2456,2015-12-11,5.16,5.16,5.1,5.16
2455,2015-12-14,5.23,5.23,5.23,5.23
2454,2015-12-15,5.03,5.3,5.03,5.3
2453,2015-12-16,5.3,5.43,5.03,5.03
2452,2015-12-17,5.43,5.43,5.43,5.43
2451,2015-12-18,5.43,5.43,5.43,5.43
2450,2015-12-21,5.3,5.3,5.3,5.3
2449,2015-12-22,5.3,5.3,5.3,5.3
2448,2015-12-23,5.3,5.3,5.3,5.3
2447,2015-12-24,5.3,5.36,5.3,5.36
2446,2015-12-25,5.3,5.3,5.3,5.3
2445,2015-12-28,5.16,5.16,5.16,5.16
2444,2015-12-29,5.3,5.3,5.3,5.3
2443,2015-12-30,5.82,5.82,5.82,5.82
2442,2015-12-31,5.3,5.3,5.3,5.3
2441,2016-01-04,6.09,6.09,5.89,5.89
2440,2016-01-05,5.3,5.3,5.3,5.3
2439,2016-01-06,5.23,5.3,5.23,5.3
2438,2016-01-07,5.82,5.82,5.16,5.16
2437,2016-01-08,5.16,5.16,4.96,4.96
2436,2016-01-11,4.96,4.96,4.96,4.96
2435,2016-01-12,5.56,5.56,5.56,5.56
2434,2016-01-13,5.23,5.23,4.96,4.96
2433,2016-01-14,5.23,5.23,5.23,5.23
2432,2016-01-15,5.23,5.23,5.23,5.23
2431,2016-01-18,5.23,5.23,5.23,5.23
2430,2016-01-19,5.3,5.3,4.63,4.63
2429,2016-01-20,4.63,4.63,4.63,4.63
2428,2016-01-21,4.63,4.63,4.63,4.63
2427,2016-01-22,4.63,4.63,4.63,4.63
2426,2016-01-25,4.96,4.96,4.96,4.96
2425,2016-01-26,5.23,5.23,5.23,5.23
2424,2016-01-27,5.23,5.23,5.23,5.23
2423,2016-01-28,5.23,5.23,5.1,5.1
2422,2016-01-29,5.1,5.1,5.1,5.1
2421,2016-02-01,5.03,5.23,5.03,5.23
2420,2016-02-02,5.1,5.1,5.03,5.1
2419,2016-02-03,5.1,5.23,5.1,5.23
2418,2016-02-04,5.23,5.3,5.23,5.3
2417,2016-02-05,5.89,5.96,5.89,5.96
2416,2016-02-15,5.49,5.49,5.3,5.3
2415,2016-02-16,5.3,5.3,5.3,5.3
2414,2016-02-17,5.43,5.43,5.43,5.43
2413,2016-02-18,5.43,5.43,5.43,5.43
2412,2016-02-19,5.36,5.56,5.36,5.56
2411,2016-02-22,5.43,5.43,5.43,5.43
2410,2016-02-23,5.43,5.43,5.43,5.43
2409,2016-02-24,5.43,5.43,5.43,5.43
2408,2016-02-25,5.16,5.16,4.96,5.03
2407,2016-02-26,5.03,5.03,5.03,5.03
2406,2016-02-29,5.03,5.03,5.03,5.03
2405,2016-03-01,4.96,4.96,4.96,4.96
2404,2016-03-02,5.43,5.43,5.3,5.3
2403,2016-03-03,5.36,5.49,5.36,5.49
2402,2016-03-04,5.49,6.22,5.49,6.22
2401,2016-03-07,6.29,6.55,6.09,6.09
2400,2016-03-08,6.22,6.29,6.09,6.22
2399,2016-03-09,6.22,6.22,5.96,6.22
2398,2016-03-10,6.09,6.29,6.09,6.29
2397,2016-03-11,6.29,6.55,6.22,6.22
2396,2016-03-14,6.42,6.42,6.42,6.42
2395,2016-03-15,6.42,6.42,6.16,6.35
2394,2016-03-16,6.29,6.29,6.22,6.29
2393,2016-03-17,6.62,6.69,6.35,6.62
2392,2016-03-18,6.69,6.82,6.69,6.82
2391,2016-03-21,6.75,6.88,6.62,6.82
2390,2016-03-22,6.82,6.82,6.62,6.75
2389,2016-03-23,6.82,7.68,6.82,7.68
2388,2016-03-24,8.61,8.67,8.61,8.67
2387,2016-03-25,9.53,9.93,9.53,9.93
2386,2016-03-28,10.06,10.92,8.94,10.59
2385,2016-03-29,10.79,10.92,10.59,10.92
2384,2016-03-30,10.99,12.38,10.99,11.12
2383,2016-03-31,11.05,11.58,10.13,10.13
2382,2016-04-01,9.0,9.8,9.0,9.13
2381,2016-04-04,8.08,9.6,7.94,9.07
2380,2016-04-05,9.0,9.33,8.74,9.33
2379,2016-04-06,9.27,10.26,9.27,10.13
2378,2016-04-07,10.26,10.79,10.13,10.33
2377,2016-04-08,10.33,10.33,9.8,10.0
2376,2016-04-11,10.26,10.33,9.86,10.0
2375,2016-04-12,10.13,10.13,9.53,9.6
2374,2016-04-13,9.66,10.13,9.66,9.93
2373,2016-04-14,9.86,9.86,9.66,9.73
2372,2016-04-15,9.73,9.8,9.53,9.53
2371,2016-04-19,9.6,9.66,8.8,8.94
2370,2016-04-20,8.94,9.07,8.8,9.0
2369,2016-04-21,8.87,9.27,8.87,9.0
2368,2016-04-22,8.74,8.94,8.61,8.8
2367,2016-04-25,8.87,8.87,8.21,8.34
2366,2016-04-26,8.54,9.4,8.27,8.87
2365,2016-04-27,8.94,9.86,8.87,9.27
2364,2016-04-28,9.33,9.47,9.0,9.13
2363,2016-04-29,9.0,9.07,8.94,9.0
2362,2016-05-04,9.0,9.0,8.61,8.74
2361,2016-05-05,8.61,8.67,8.27,8.34
2360,2016-05-06,8.27,8.54,8.21,8.34
2359,2016-05-09,8.54,8.54,7.94,8.34
2358,2016-05-10,8.34,8.34,8.08,8.14
2357,2016-05-11,8.14,8.41,8.08,8.34
2356,2016-05-12,8.41,8.94,8.41,8.74
2355,2016-05-13,8.61,9.07,8.61,8.8
2354,2016-05-16,8.8,8.94,8.67,8.67
2353,2016-05-17,8.47,8.61,8.34,8.54
2352,2016-05-18,8.34,8.74,8.34,8.47
2351,2016-05-19,8.47,8.61,8.47,8.54
2350,2016-05-20,8.54,9.27,8.54,9.0
2349,2016-05-23,8.94,9.13,8.87,8.94
2348,2016-05-24,8.8,8.94,8.8,8.94
2347,2016-05-25,8.74,8.87,8.61,8.74
2346,2016-05-26,8.74,9.0,8.74,8.8
2345,2016-05-27,8.74,9.0,8.74,9.0
2344,2016-05-30,9.0,9.47,8.94,9.27
2343,2016-05-31,9.27,9.27,9.0,9.07
2342,2016-06-01,9.0,9.2,9.0,9.2
2341,2016-06-02,9.13,10.0,9.13,10.0
2340,2016-06-03,10.0,10.33,10.0,10.06
2339,2016-06-06,10.13,10.13,9.73,9.73
2338,2016-06-07,9.73,9.8,9.6,9.8
2337,2016-06-08,9.73,10.59,9.73,10.26
2336,2016-06-09,10.33,10.72,10.26,10.72
2335,2016-06-10,10.72,11.12,10.52,10.72
2334,2016-06-13,10.79,10.79,10.19,10.26
2333,2016-06-14,10.26,10.46,10.06,10.39
2332,2016-06-15,10.39,10.79,10.39,10.72
2331,2016-06-16,10.72,10.92,10.33,10.46
2330,2016-06-17,10.46,10.52,10.0,10.19
2329,2016-06-20,10.19,10.19,9.8,9.93
2328,2016-06-21,9.8,10.26,9.8,10.0
2327,2016-06-22,10.0,10.0,9.6,9.66
2326,2016-06-23,9.66,9.73,9.53,9.66
2325,2016-06-24,9.53,9.53,8.47,9.0
2324,2016-06-27,8.94,8.94,8.34,8.74
2323,2016-06-28,8.67,9.13,8.67,8.94
2322,2016-06-29,8.94,9.07,8.67,8.87
2321,2016-06-30,8.87,9.13,8.87,8.94
2320,2016-07-01,8.87,8.94,8.8,8.87
2319,2016-07-04,9.0,9.2,8.94,9.0
2318,2016-07-05,9.13,9.86,9.07,9.53
2317,2016-07-06,9.6,9.93,9.27,9.86
2316,2016-07-07,9.93,10.0,9.73,9.73
2315,2016-07-08,9.6,9.6,9.33,9.4
2314,2016-07-11,9.47,9.47,8.94,9.0
2313,2016-07-12,9.13,9.27,9.0,9.13
2312,2016-07-13,9.13,9.2,9.0,9.13
2311,2016-07-14,9.13,9.13,9.0,9.0
2310,2016-07-15,9.0,9.2,9.0,9.13
2309,2016-07-18,9.13,9.2,9.07,9.2
2308,2016-07-19,9.2,9.53,9.2,9.27
2307,2016-07-20,9.53,9.53,9.2,9.27
2306,2016-07-21,9.27,9.27,9.07,9.2
2305,2016-07-22,9.2,9.2,9.0,9.13
2304,2016-07-25,9.2,9.27,9.07,9.13
2303,2016-07-26,9.13,9.27,9.0,9.27
2302,2016-07-27,9.27,9.86,9.27,9.53
2301,2016-07-28,9.73,9.93,9.47,9.66
2300,2016-07-29,9.6,9.8,9.6,9.73
2299,2016-08-01,9.73,9.73,9.33,9.47
2298,2016-08-02,9.53,9.53,9.2,9.2
2297,2016-08-03,9.13,9.33,9.07,9.2
2296,2016-08-04,9.13,9.47,9.13,9.33
2295,2016-08-05,9.4,9.73,9.2,9.6
2294,2016-08-08,9.6,9.93,9.6,9.86
2293,2016-08-09,9.87,10.55,9.87,10.34
2292,2016-08-10,10.27,10.75,10.27,10.55
2291,2016-08-11,10.61,10.61,10.34,10.55
2290,2016-08-12,10.55,10.89,10.55,0.0
2289,2016-08-15,10.75,10.82,10.55,10.75
2288,2016-08-16,10.75,10.82,10.61,10.61
2287,2016-08-17,10.68,10.68,10.41,10.61
2286,2016-08-18,10.55,10.68,10.48,10.55
2285,2016-08-19,10.48,10.55,10.21,10.27
2284,2016-08-22,10.21,10.27,10.0,10.14
2283,2016-08-23,10.07,10.21,10.0,10.21
2282,2016-08-24,10.14,10.55,10.14,10.41
2281,2016-08-25,10.48,10.48,10.34,10.41
2280,2016-08-26,10.21,10.41,10.21,10.27
2279,2016-08-29,10.48,10.61,9.53,10.07
2278,2016-08-30,10.14,10.21,10.0,10.14
2277,2016-08-31,10.21,10.34,10.07,10.21
2276,2016-09-01,10.07,10.27,10.07,10.21
2275,2016-09-05,10.34,10.34,10.14,10.21
2274,2016-09-06,10.07,10.21,9.87,10.0
2273,2016-09-07,10.0,10.07,9.93,10.0
2272,2016-09-08,10.0,10.21,10.0,10.21
2271,2016-09-09,10.21,10.68,10.21,10.61
2270,2016-09-12,10.61,10.68,10.34,10.41
2269,2016-09-13,10.41,10.41,10.27,10.34
2268,2016-09-14,10.21,10.27,10.14,10.21
2267,2016-09-15,10.07,10.27,10.0,10.14
2266,2016-09-16,10.21,10.27,10.14,10.27
2265,2016-09-19,10.27,10.61,10.21,10.48
2264,2016-09-20,10.55,10.55,10.34,10.34
2263,2016-09-21,10.34,10.48,10.34,10.48
2262,2016-09-22,10.41,10.41,10.27,10.34
2261,2016-09-23,10.34,10.41,10.34,10.34
2260,2016-09-26,10.34,10.48,10.34,10.48
2259,2016-09-27,10.41,11.36,10.41,11.36
2258,2016-09-28,11.36,11.77,11.23,11.36
2257,2016-09-29,11.57,11.57,11.09,11.16
2256,2016-09-30,11.09,11.7,11.09,11.7
2255,2016-10-03,11.7,12.18,11.7,11.97
2254,2016-10-04,11.97,12.11,11.7,11.91
2253,2016-10-05,11.91,11.91,11.57,11.57
2252,2016-10-06,11.57,11.7,11.36,11.36
2251,2016-10-07,11.36,11.63,11.29,11.57
2250,2016-10-10,11.7,11.77,11.43,11.5
2249,2016-10-11,11.5,11.5,10.95,11.36
2248,2016-10-12,11.09,11.57,11.09,11.5
2247,2016-10-13,11.43,11.7,11.43,11.7
2246,2016-10-14,11.7,11.7,11.57,11.63
2245,2016-10-17,11.57,11.63,11.36,11.43
2244,2016-10-18,11.5,11.57,11.36,11.5
2243,2016-10-19,11.5,11.63,11.36,11.43
2242,2016-10-20,11.5,11.5,11.36,11.5
2241,2016-10-21,13.13,13.13,11.29,11.36
2240,2016-10-24,11.43,11.43,11.16,11.43
2239,2016-10-25,11.36,11.5,11.29,11.29
2238,2016-10-26,11.29,11.36,11.29,11.36
2237,2016-10-27,11.5,11.5,11.29,11.43
2236,2016-10-28,11.5,12.45,11.5,12.04
2235,2016-10-31,12.18,12.86,12.18,12.52
2234,2016-11-01,12.65,12.72,12.25,12.38
2233,2016-11-02,12.38,12.38,11.63,11.84
2232,2016-11-03,11.63,11.97,11.23,11.29
2231,2016-11-04,11.36,11.63,11.29,11.5
2230,2016-11-07,11.57,11.63,11.5,11.57
2229,2016-11-08,11.57,11.63,11.5,11.5
2228,2016-11-09,11.43,11.43,10.89,11.29
2227,2016-11-10,11.36,11.63,11.36,11.57
2226,2016-11-11,11.57,11.57,11.43,11.5
2225,2016-11-14,11.43,11.43,11.16,11.23
2224,2016-11-15,11.29,11.29,11.16,11.29
2223,2016-11-16,11.36,11.43,11.29,11.43
2222,2016-11-17,11.5,11.5,11.29,11.29
2221,2016-11-18,11.29,11.43,11.29,11.29
2220,2016-11-21,11.29,11.5,11.23,11.23
2219,2016-11-22,11.23,11.29,11.16,11.16
2218,2016-11-23,11.43,11.43,10.82,10.89
2217,2016-11-24,11.57,11.57,10.82,10.82
2216,2016-11-25,10.82,10.95,10.75,10.95
2215,2016-11-28,10.89,10.89,10.75,10.82
2214,2016-11-29,10.75,10.89,10.75,10.82
2213,2016-11-30,10.82,10.82,10.68,10.75
2212,2016-12-01,10.75,10.75,10.61,10.61
2211,2016-12-02,10.68,10.68,10.55,10.55
2210,2016-12-05,10.61,10.61,10.34,10.41
2209,2016-12-06,10.34,10.48,10.34,10.34
2208,2016-12-07,10.41,11.02,10.41,10.48
2207,2016-12-08,10.48,10.68,10.48,10.68
2206,2016-12-09,10.61,10.68,10.55,10.68
2205,2016-12-12,10.68,10.75,10.55,10.68
2204,2016-12-13,10.82,10.89,10.82,10.82
2203,2016-12-14,10.89,10.89,10.75,10.89
2202,2016-12-15,10.89,11.09,10.82,10.89
2201,2016-12-22,13.68,13.68,10.89,10.89
2200,2016-12-23,10.89,11.16,10.89,10.89
2199,2016-12-26,10.89,11.02,10.89,11.02
2198,2016-12-27,10.89,10.89,10.75,10.75
2197,2016-12-28,10.68,10.75,10.41,10.55
2196,2016-12-29,10.55,10.55,10.48,10.48
2195,2016-12-30,10.55,10.55,10.41,10.41
2194,2017-01-03,10.48,10.55,10.34,10.41
2193,2017-01-04,10.68,10.68,10.27,10.41
2192,2017-01-05,10.48,10.48,10.34,10.34
2191,2017-01-06,10.34,10.41,10.34,10.41
2190,2017-01-09,10.41,10.48,10.34,10.41
2189,2017-01-10,10.21,10.27,10.14,10.21
2188,2017-01-11,10.41,10.41,10.21,10.21
2187,2017-01-12,10.21,10.21,10.14,10.14
2186,2017-01-13,10.14,10.14,9.93,10.14
2185,2017-01-16,10.14,10.21,9.93,9.93
2184,2017-01-17,9.87,10.0,9.66,10.0
2183,2017-01-18,10.0,10.14,10.0,10.07
2182,2017-01-19,10.07,10.14,10.07,10.14
2181,2017-01-20,10.21,10.21,10.14,10.21
2180,2017-01-23,10.21,10.27,10.21,10.21
2179,2017-01-24,10.21,10.34,10.21,10.27
2178,2017-01-25,10.41,10.61,10.14,10.48
2177,2017-02-02,10.48,10.75,10.48,10.75
2176,2017-02-03,10.75,10.82,10.48,10.48
2175,2017-02-06,10.75,10.75,10.48,10.48
2174,2017-02-07,10.48,10.75,10.48,10.61
2173,2017-02-08,10.68,10.68,10.48,10.55
2172,2017-02-09,10.68,10.68,10.48,10.61
2171,2017-02-10,10.68,10.68,10.41,10.55
2170,2017-02-13,10.55,10.61,10.41,10.48
2169,2017-02-14,10.41,10.68,10.41,10.61
2168,2017-02-15,10.55,10.68,10.55,10.61
2167,2017-02-16,10.55,10.61,10.48,10.55
2166,2017-02-17,10.41,10.55,10.21,10.55
2165,2017-02-20,10.41,10.55,10.41,10.55
2164,2017-02-21,10.41,10.55,10.34,10.48
2163,2017-02-22,10.34,10.41,9.93,10.21
2162,2017-02-23,10.21,10.27,10.14,10.27
2161,2017-02-24,10.07,10.14,10.0,10.14
2160,2017-02-27,10.21,10.21,9.93,9.93
2159,2017-02-28,9.93,9.93,9.73,9.73
2158,2017-03-01,10.07,10.14,9.87,9.87
2157,2017-03-02,9.66,9.73,9.53,9.66
2156,2017-03-03,9.59,9.59,9.46,9.46
2155,2017-03-06,9.46,9.53,9.39,9.46
2154,2017-03-07,9.46,9.66,9.46,9.66
2153,2017-03-08,9.66,9.66,9.66,9.66
2152,2017-03-09,9.66,9.66,9.39,9.39
2151,2017-03-10,9.39,9.46,9.18,9.46
2150,2017-03-13,9.32,9.32,8.98,9.18
2149,2017-03-14,9.18,9.18,9.05,9.12
2148,2017-03-15,9.12,9.73,9.05,9.73
2147,2017-03-16,9.73,9.73,9.53,9.66
2146,2017-03-17,9.66,9.73,9.53,9.66
2145,2017-03-20,9.8,10.34,9.59,10.14
2144,2017-03-21,10.21,10.41,10.0,10.34
2143,2017-03-22,10.27,10.75,10.27,10.48
2142,2017-03-23,10.55,10.55,10.0,10.21
2141,2017-03-24,10.21,10.27,10.07,10.21
2140,2017-03-27,10.34,10.34,10.21,10.21
2139,2017-03-28,10.21,10.34,10.21,10.34
2138,2017-03-29,10.48,10.48,10.27,10.27
2137,2017-03-30,10.48,10.61,10.27,10.55
2136,2017-03-31,10.55,10.68,10.48,10.61
2135,2017-04-03,10.75,10.95,10.61,10.95
2134,2017-04-04,11.02,11.29,10.95,11.16
2133,2017-04-05,11.23,11.23,10.82,10.89
2132,2017-04-07,10.89,11.02,10.68,10.95
2131,2017-04-10,11.02,11.09,10.75,10.89
2130,2017-04-11,10.95,10.95,10.68,10.82
2129,2017-04-12,10.89,11.16,10.89,11.09
2128,2017-04-13,11.16,11.23,11.02,11.09
2127,2017-04-14,11.09,11.09,10.75,10.89
2126,2017-04-17,10.89,10.95,10.55,10.82
2125,2017-04-18,10.61,10.95,10.55,10.89
2124,2017-04-19,10.89,11.09,10.82,10.89
2123,2017-04-20,10.95,10.95,10.75,10.82
2122,2017-04-21,10.68,10.95,10.61,10.82
2121,2017-04-24,10.89,10.89,10.55,10.55
2120,2017-04-25,10.55,10.68,10.55,10.68
2119,2017-04-26,10.68,10.68,10.41,10.48
2118,2017-04-27,10.41,10.55,10.21,10.55
2117,2017-04-28,10.55,10.55,10.41,10.55
2116,2017-05-03,10.68,10.68,10.27,10.34
2115,2017-05-04,10.55,10.55,10.27,10.34
2114,2017-05-05,10.41,10.41,10.21,10.34
2113,2017-05-08,10.21,10.34,10.21,10.21
2112,2017-05-09,10.34,10.55,10.27,10.41
2111,2017-05-10,10.41,10.61,10.41,10.61
2110,2017-05-11,10.61,10.68,10.55,10.55
2109,2017-05-12,10.55,10.68,10.55,10.61
2108,2017-05-15,10.61,10.68,10.48,10.61
2107,2017-05-16,10.68,11.09,10.61,10.75
2106,2017-05-17,10.75,11.23,10.75,10.82
2105,2017-05-18,10.82,10.89,10.68,10.82
2104,2017-05-19,10.82,10.89,10.82,10.89
2103,2017-05-22,10.89,11.16,10.89,11.02
2102,2017-05-23,11.02,12.11,11.02,11.84
2101,2017-05-24,11.91,11.91,11.57,11.63
2100,2017-05-25,11.63,12.25,11.43,11.97
2099,2017-05-26,11.97,12.25,11.84,12.11
2098,2017-05-29,12.11,12.72,11.43,11.97
2097,2017-05-30,11.97,12.25,11.91,11.97
2096,2017-05-31,11.91,12.18,11.57,11.57
2095,2017-06-01,11.57,11.84,11.57,11.77
2094,2017-06-02,11.91,12.93,11.84,12.93
2093,2017-06-05,12.93,13.61,12.79,13.2
2092,2017-06-06,13.2,13.27,12.99,13.27
2091,2017-06-07,13.2,13.2,12.93,12.99
2090,2017-06-08,12.72,13.34,12.72,13.2
2089,2017-06-09,13.06,13.54,13.06,13.34
2088,2017-06-12,13.4,13.47,13.13,13.13
2087,2017-06-13,13.13,13.2,12.93,13.13
2086,2017-06-14,13.27,13.27,12.79,12.99
2085,2017-06-15,12.99,13.27,12.99,13.13
2084,2017-06-16,13.13,13.2,13.13,13.2
2083,2017-06-19,13.2,13.88,13.13,13.61
2082,2017-06-20,13.61,13.68,13.61,13.61
2081,2017-06-21,13.61,13.61,13.2,13.47
2080,2017-06-22,13.47,13.47,13.2,13.34
2079,2017-06-23,13.34,13.47,13.13,13.13
