,Date,Open,High,Low,Close
2491,2015-01-05,30.06,30.06,30.06,30.06
2490,2015-01-06,30.06,30.06,30.06,30.06
2489,2015-01-07,30.06,30.06,30.06,30.06
2488,2015-01-08,30.06,30.06,30.06,30.06
2487,2015-01-09,30.06,30.06,30.06,30.06
2486,2015-01-12,30.06,30.06,30.06,30.06
2485,2015-01-13,30.06,30.06,30.06,30.06
2484,2015-01-14,30.06,30.06,30.06,30.06
2483,2015-01-15,30.06,30.06,30.06,30.06
2482,2015-01-16,30.06,30.06,30.06,30.06
2481,2015-01-19,30.06,30.06,30.06,30.06
2480,2015-01-20,30.06,30.06,30.06,30.06
2479,2015-01-21,30.06,30.06,30.06,30.06
2478,2015-01-22,30.06,30.06,30.06,30.06
2477,2015-01-23,30.06,30.06,30.06,30.06
2476,2015-01-26,30.06,30.06,30.06,30.06
2475,2015-01-27,30.06,30.06,30.06,30.06
2474,2015-01-28,30.06,30.06,30.06,30.06
2473,2015-01-29,30.06,30.06,30.06,30.06
2472,2015-01-30,30.06,30.06,30.06,30.06
2471,2015-02-02,30.06,30.06,30.06,30.06
2470,2015-02-03,30.06,30.06,30.06,30.06
2469,2015-02-04,30.06,30.06,30.06,30.06
2468,2015-02-05,30.06,30.06,30.06,30.06
2467,2015-02-06,23.88,23.88,23.88,23.88
2466,2015-02-09,23.88,23.88,23.88,23.88
2465,2015-02-10,23.88,23.88,23.88,23.88
2464,2015-02-11,23.88,23.88,23.88,23.88
2463,2015-02-12,23.88,23.88,23.88,23.88
2462,2015-02-13,23.88,23.88,23.88,23.88
2461,2015-02-24,23.88,23.88,23.88,23.88
2460,2015-02-25,23.88,23.88,23.88,23.88
2459,2015-02-26,23.88,23.88,23.88,23.88
2458,2015-02-27,23.88,23.88,23.88,23.88
2457,2015-03-02,23.88,23.88,23.88,23.88
2456,2015-03-03,23.88,23.88,23.88,23.88
2455,2015-03-04,23.88,23.88,23.88,23.88
2454,2015-03-05,23.88,23.88,23.88,23.88
2453,2015-03-06,22.13,22.13,22.13,22.13
2452,2015-03-09,22.13,22.13,22.13,22.13
2451,2015-03-10,22.13,22.13,22.13,22.13
2450,2015-03-11,22.13,22.13,22.13,22.13
2449,2015-03-12,22.13,22.13,22.13,22.13
2448,2015-03-13,22.13,22.13,22.13,22.13
2447,2015-03-16,22.13,22.13,22.13,22.13
2446,2015-03-17,22.13,22.13,22.13,22.13
2445,2015-03-18,22.13,22.13,22.13,22.13
2444,2015-03-19,22.13,22.13,22.13,22.13
2443,2015-03-20,22.13,22.13,22.13,22.13
2442,2015-03-23,24.35,24.35,24.35,24.35
2441,2015-03-24,24.35,24.35,24.35,24.35
2440,2015-03-25,22.13,22.13,22.13,22.13
2439,2015-03-26,22.13,22.13,22.13,22.13
2438,2015-03-27,22.13,22.13,22.13,22.13
2437,2015-03-30,22.13,22.13,22.13,22.13
2436,2015-03-31,22.13,22.13,22.13,22.13
2435,2015-04-01,22.13,22.13,22.13,22.13
2434,2015-04-02,22.13,22.13,22.13,22.13
2433,2015-04-03,22.13,22.13,22.13,22.13
2432,2015-04-06,22.13,22.13,22.13,22.13
2431,2015-04-07,22.13,22.13,22.13,22.13
2430,2015-04-08,22.13,22.13,22.13,22.13
2429,2015-04-09,22.13,22.13,22.13,22.13
2428,2015-04-10,22.13,22.13,22.13,22.13
2427,2015-04-13,22.13,22.13,22.13,22.13
2426,2015-04-14,22.13,22.13,22.13,22.13
2425,2015-04-15,22.13,22.13,22.13,22.13
2424,2015-04-16,22.13,22.13,22.13,22.13
2423,2015-04-17,22.13,22.13,22.13,22.13
2422,2015-04-20,22.13,22.13,22.13,22.13
2421,2015-04-21,22.13,22.13,22.13,22.13
2420,2015-04-22,22.13,22.13,22.13,22.13
2419,2015-04-23,22.13,22.13,22.13,22.13
2418,2015-04-24,22.13,22.13,22.13,22.13
2417,2015-04-27,22.13,22.13,22.13,22.13
2416,2015-05-04,22.13,22.13,22.13,22.13
2415,2015-05-05,22.13,22.13,22.13,22.13
2414,2015-05-06,22.13,22.13,22.13,22.13
2413,2015-05-07,22.13,22.13,22.13,22.13
2412,2015-05-08,22.13,22.13,22.13,22.13
2411,2015-05-11,22.13,22.13,22.13,22.13
2410,2015-05-12,22.13,22.13,22.13,22.13
2409,2015-05-13,22.13,22.13,22.13,22.13
2408,2015-05-14,22.13,22.13,22.13,22.13
2407,2015-05-15,22.13,22.13,22.13,22.13
