,Date,Open,High,Low,Close
2190,2017-01-09,3.1,3.1,2.22,2.41
2189,2017-01-10,2.49,2.49,2.41,2.44
2188,2017-01-11,2.44,2.44,2.39,2.41
2187,2017-01-12,2.35,2.35,2.19,2.19
2186,2017-01-13,2.13,2.13,1.97,1.98
2185,2017-01-16,2.01,2.01,1.94,1.99
2184,2017-01-17,1.96,2.05,1.96,2.05
2183,2017-01-18,2.05,2.06,2.02,2.06
2182,2017-01-19,2.05,2.09,2.03,2.09
2181,2017-01-20,2.06,2.15,2.06,2.07
2180,2017-01-23,2.15,2.2,2.11,2.11
2179,2017-01-24,2.18,2.22,2.18,2.22
2178,2017-01-25,2.2,2.2,2.2,2.2
2177,2017-02-02,2.2,2.2,2.1,2.13
2176,2017-02-03,2.1,2.2,2.1,2.18
2175,2017-02-06,2.16,2.16,2.15,2.15
2174,2017-02-07,2.15,2.15,2.15,2.15
2173,2017-02-08,2.15,2.15,2.13,2.13
2172,2017-02-09,2.15,2.19,2.14,2.14
2171,2017-02-10,2.15,2.2,2.15,2.2
2170,2017-02-13,2.14,2.19,2.14,2.19
2169,2017-02-14,2.16,2.18,2.16,2.16
2168,2017-02-15,2.15,2.22,2.15,2.18
2167,2017-02-16,2.2,2.24,2.2,2.22
2166,2017-02-17,2.19,2.19,2.19,2.19
2165,2017-02-20,2.19,2.24,2.19,2.2
2164,2017-02-21,2.2,2.22,2.19,2.22
2163,2017-02-22,2.22,2.23,2.2,2.2
2162,2017-02-23,2.22,2.22,2.19,2.19
2161,2017-02-24,2.22,2.22,2.2,2.22
2160,2017-02-27,2.22,2.22,2.2,2.22
2159,2017-02-28,2.2,2.24,2.2,2.23
2158,2017-03-01,2.23,2.28,2.23,2.26
2157,2017-03-02,2.29,2.39,2.27,2.28
2156,2017-03-03,2.29,2.31,2.29,2.31
2155,2017-03-06,2.31,2.31,2.28,2.28
2154,2017-03-07,2.24,2.31,2.24,2.29
2153,2017-03-08,2.26,2.26,2.26,2.26
2152,2017-03-09,2.26,2.26,2.24,2.26
2151,2017-03-10,2.26,2.28,2.26,2.28
2150,2017-03-13,2.28,2.29,2.28,2.28
2149,2017-03-14,2.28,2.31,2.28,2.29
2148,2017-03-15,2.27,2.28,2.26,2.28
2147,2017-03-16,2.28,2.28,2.28,2.28
2146,2017-03-17,2.29,2.29,2.29,2.29
2145,2017-03-20,2.29,2.29,2.27,2.27
2144,2017-03-21,2.28,2.28,2.28,2.28
2143,2017-03-22,2.32,2.32,2.28,2.28
2142,2017-03-23,2.28,2.28,2.28,2.28
2141,2017-03-24,2.24,2.32,2.24,2.28
2140,2017-03-27,2.28,2.29,2.28,2.29
2139,2017-03-28,2.28,2.32,2.28,2.31
2138,2017-03-29,2.35,2.35,2.29,2.29
2137,2017-03-30,2.35,2.35,2.31,2.31
2136,2017-03-31,2.35,2.35,2.31,2.35
2135,2017-04-03,2.35,2.41,2.35,2.4
2134,2017-04-04,2.41,2.41,2.4,2.4
2133,2017-04-05,2.44,2.45,2.41,2.41
2132,2017-04-07,2.45,2.45,2.41,2.43
2131,2017-04-10,2.43,2.44,2.43,2.44
2130,2017-04-11,2.44,2.5,2.44,2.46
2129,2017-04-12,2.44,2.49,2.44,2.46
2128,2017-04-13,2.49,2.74,2.49,2.65
2127,2017-04-14,2.65,2.67,2.58,2.58
2126,2017-04-17,2.63,2.63,2.48,2.58
2125,2017-04-18,2.59,2.59,2.56,2.58
2124,2017-04-19,2.58,2.61,2.58,2.59
2123,2017-04-20,2.59,2.63,2.59,2.62
2122,2017-04-21,2.61,2.61,2.61,2.61
2121,2017-04-24,2.61,2.61,2.58,2.61
2120,2017-04-25,2.62,2.67,2.61,2.63
2119,2017-04-26,2.61,2.66,2.61,2.61
2118,2017-04-27,2.61,2.67,2.61,2.61
2117,2017-04-28,2.63,2.67,2.62,2.65
2116,2017-05-03,2.73,2.73,2.63,2.7
