,Date,Open,High,Low,Close
2700,2015-01-05,20.48,20.48,20.31,20.44
2699,2015-01-06,20.35,20.53,20.31,20.53
2698,2015-01-07,20.53,20.61,20.4,20.48
2697,2015-01-08,20.48,20.78,20.48,20.61
2696,2015-01-09,20.61,20.87,20.53,20.53
2695,2015-01-12,20.53,20.7,20.31,20.31
2694,2015-01-13,20.27,20.44,20.14,20.23
2693,2015-01-14,20.35,20.35,20.18,20.23
2692,2015-01-15,20.23,20.4,20.1,20.35
2691,2015-01-16,20.35,20.35,20.18,20.31
2690,2015-01-19,20.31,20.57,20.27,20.31
2689,2015-01-20,20.35,20.44,20.23,20.23
2688,2015-01-21,20.23,20.35,20.23,20.23
2687,2015-01-22,20.35,20.35,20.23,20.23
2686,2015-01-23,20.35,20.61,20.31,20.61
2685,2015-01-26,20.83,21.0,20.61,20.7
2684,2015-01-27,20.7,20.74,20.35,20.61
2683,2015-01-28,20.44,20.61,20.4,20.44
2682,2015-01-29,20.44,20.53,20.35,20.44
2681,2015-01-30,20.48,20.78,20.44,20.61
2680,2015-02-02,20.61,20.66,20.48,20.48
2679,2015-02-03,20.48,20.53,20.14,20.14
2678,2015-02-04,20.31,20.31,19.97,20.14
2677,2015-02-05,20.05,20.18,20.05,20.1
2676,2015-02-06,20.18,20.27,20.1,20.14
2675,2015-02-09,20.14,20.4,20.14,20.31
2674,2015-02-10,20.4,20.48,20.27,20.27
2673,2015-02-11,20.35,20.83,20.27,20.83
2672,2015-02-12,21.0,21.47,20.96,21.47
2671,2015-02-13,21.47,22.12,21.47,21.69
2670,2015-02-24,21.9,22.12,21.47,22.12
2669,2015-02-25,21.9,22.12,21.47,21.47
2668,2015-02-26,21.47,21.69,21.13,21.43
2667,2015-02-27,21.47,21.47,21.26,21.26
2666,2015-03-02,21.3,21.47,21.26,21.43
2665,2015-03-03,21.43,22.54,21.43,22.33
2664,2015-03-04,22.33,22.33,21.9,22.12
2663,2015-03-05,21.9,22.12,21.69,21.9
2662,2015-03-06,21.47,21.9,21.43,21.43
2661,2015-03-09,21.43,21.69,21.3,21.34
2660,2015-03-10,21.26,21.43,21.21,21.34
2659,2015-03-11,21.34,21.34,21.13,21.17
2658,2015-03-12,21.17,21.43,21.17,21.3
2657,2015-03-13,21.3,21.43,21.26,21.3
2656,2015-03-16,21.26,21.3,21.0,21.13
2655,2015-03-17,21.17,21.21,21.08,21.17
2654,2015-03-18,21.17,21.21,21.13,21.17
2653,2015-03-19,21.21,21.26,20.96,21.08
2652,2015-03-20,21.08,21.13,20.87,20.87
2651,2015-03-23,20.87,21.08,20.7,20.74
2650,2015-03-24,20.74,20.78,20.66,20.74
2649,2015-03-25,20.74,20.78,20.66,20.7
2648,2015-03-26,20.61,20.7,20.4,20.4
2647,2015-03-27,20.74,20.74,20.18,20.23
2646,2015-03-30,20.27,20.31,20.01,20.01
2645,2015-03-31,20.01,20.23,20.01,20.18
2644,2015-04-01,20.18,20.18,19.75,19.75
2643,2015-04-02,19.93,19.93,19.71,19.88
2642,2015-04-03,19.88,19.88,19.8,19.8
2641,2015-04-06,19.8,19.84,19.71,19.71
2640,2015-04-07,19.71,19.84,19.62,19.84
2639,2015-04-08,19.84,19.88,19.75,19.75
2638,2015-04-09,19.75,20.01,19.75,19.8
