,Date,Open,High,Low,Close
2693,2015-01-05,2.27,2.38,2.27,2.31
2692,2015-01-06,2.27,2.54,2.15,2.54
2691,2015-01-07,2.79,2.79,2.61,2.73
2690,2015-01-08,2.66,2.96,2.66,2.77
2689,2015-01-09,2.83,2.94,2.77,2.83
2688,2015-01-12,2.89,2.89,2.57,2.61
2687,2015-01-13,2.49,2.75,2.44,2.71
2686,2015-01-14,2.61,2.81,2.61,2.77
2685,2015-01-15,2.77,3.04,2.7,3.04
2684,2015-01-16,3.08,3.15,2.95,2.96
2683,2015-01-19,2.96,3.05,2.88,2.97
2682,2015-01-20,2.9,2.96,2.88,2.9
2681,2015-01-21,2.9,3.05,2.89,2.9
2680,2015-01-22,2.91,2.95,2.83,2.89
2679,2015-01-23,3.0,3.02,2.87,3.0
2678,2015-01-26,3.05,3.13,2.89,3.03
2677,2015-01-27,3.03,3.05,2.88,2.95
2676,2015-01-28,2.89,3.0,2.88,2.95
2675,2015-01-29,2.89,3.13,2.83,3.13
2674,2015-01-30,3.02,3.2,3.0,3.15
2673,2015-02-02,3.06,3.43,3.06,3.14
2672,2015-02-03,3.06,3.37,3.06,3.08
2671,2015-02-04,3.08,3.08,2.92,2.94
2670,2015-02-05,2.9,2.94,2.8,2.82
2669,2015-02-06,2.78,2.94,2.78,2.83
2668,2015-02-09,2.83,2.89,2.65,2.68
2667,2015-02-10,2.78,2.78,2.49,2.56
2666,2015-02-11,2.45,2.68,2.4,2.68
2665,2015-02-12,2.63,2.73,2.61,2.64
2664,2015-02-13,2.61,2.64,2.56,2.57
2663,2015-02-24,2.53,2.57,2.49,2.54
2662,2015-02-25,2.51,2.64,2.32,2.37
2661,2015-02-26,2.35,2.41,2.22,2.27
2660,2015-02-27,2.28,2.39,2.12,2.28
2659,2015-03-02,2.23,2.31,2.22,2.26
2658,2015-03-03,2.23,2.3,2.12,2.23
2657,2015-03-04,2.45,2.45,2.45,2.45
2656,2015-03-05,2.69,2.69,2.5,2.51
2655,2015-03-06,2.51,2.53,2.36,2.39
2654,2015-03-09,2.36,2.38,2.23,2.32
2653,2015-03-10,2.27,2.42,2.26,2.38
2652,2015-03-11,2.35,2.36,2.32,2.32
2651,2015-03-12,2.29,2.36,2.26,2.36
2650,2015-03-13,2.33,2.39,2.32,2.36
2649,2015-03-16,2.36,2.36,2.3,2.32
2648,2015-03-17,2.27,2.39,2.26,2.38
2647,2015-03-18,2.35,2.38,2.32,2.35
2646,2015-03-19,2.32,2.39,2.32,2.32
2645,2015-03-20,2.27,2.33,2.26,2.32
2644,2015-03-23,2.3,2.38,2.27,2.3
2643,2015-03-24,2.29,2.33,2.24,2.33
2642,2015-03-25,2.3,2.33,2.27,2.27
2641,2015-03-26,2.26,2.32,2.23,2.27
2640,2015-03-27,2.27,2.3,2.23,2.23
2639,2015-03-30,2.26,2.26,2.05,2.05
2638,2015-03-31,2.03,2.09,2.0,2.05
2637,2015-04-01,2.01,2.05,1.91,1.91
2636,2015-04-02,1.88,1.94,1.8,1.92
2635,2015-04-03,1.88,1.97,1.88,1.95
2634,2015-04-06,1.91,1.95,1.89,1.89
2633,2015-04-07,1.86,1.97,1.86,1.95
2632,2015-04-08,1.95,2.0,1.94,1.94
2631,2015-04-09,1.91,1.97,1.91,1.94
2630,2015-04-10,1.92,1.97,1.92,1.95
2629,2015-04-13,1.95,2.03,1.94,2.0
2628,2015-04-14,1.95,2.0,1.95,1.95
2627,2015-04-15,1.95,1.95,1.91,1.92
2626,2015-04-16,1.89,2.01,1.89,2.01
2625,2015-04-17,2.05,2.06,1.95,2.03
2624,2015-04-20,2.01,2.03,1.95,1.95
2623,2015-04-21,1.92,1.97,1.92,1.92
2622,2015-04-22,1.91,1.95,1.86,1.86
2621,2015-04-23,1.82,1.88,1.77,1.8
2620,2015-04-24,1.77,1.82,1.67,1.67
2619,2015-04-27,1.65,1.68,1.59,1.59
2618,2015-05-04,1.56,1.59,1.44,1.44
2617,2015-05-05,1.43,1.5,1.31,1.5
2616,2015-05-06,1.44,1.58,1.35,1.35
2615,2015-05-07,1.28,1.43,1.22,1.38
2614,2015-05-08,1.38,1.46,1.32,1.44
2613,2015-05-11,1.44,1.47,1.38,1.38
2612,2015-05-12,1.35,1.41,1.32,1.35
2611,2015-05-13,1.35,1.35,1.29,1.35
2610,2015-05-14,1.32,1.38,1.28,1.34
2609,2015-05-15,1.32,1.37,1.29,1.29
2608,2015-05-18,1.26,1.29,1.17,1.17
2607,2015-05-19,1.16,1.22,1.14,1.22
2606,2015-05-20,1.2,1.34,1.2,1.34
