,Date,Open,High,Low,Close
2690,2015-01-05,1.65,1.65,1.61,1.61
2689,2015-01-06,1.59,1.68,1.59,1.68
2688,2015-01-07,1.67,1.68,1.65,1.68
2687,2015-01-08,1.67,1.68,1.64,1.65
2686,2015-01-09,1.65,1.71,1.65,1.69
2685,2015-01-12,1.67,1.71,1.55,1.68
2684,2015-01-13,1.51,1.71,1.51,1.69
2683,2015-01-14,1.68,1.69,1.64,1.67
2682,2015-01-15,1.67,1.71,1.67,1.71
2681,2015-01-16,1.71,1.76,1.71,1.71
2680,2015-01-19,1.71,1.72,1.67,1.68
2679,2015-01-20,1.68,1.69,1.65,1.68
2678,2015-01-21,1.69,1.71,1.67,1.67
2677,2015-01-22,1.67,1.69,1.65,1.69
2676,2015-01-23,1.69,1.72,1.69,1.71
2675,2015-01-26,1.71,1.72,1.68,1.68
2674,2015-01-27,1.69,1.69,1.65,1.67
2673,2015-01-28,1.64,1.67,1.59,1.64
2672,2015-01-29,1.64,1.65,1.64,1.65
2671,2015-01-30,1.65,1.65,1.59,1.6
2670,2015-02-02,1.59,1.59,1.54,1.54
2669,2015-02-03,1.54,1.55,1.51,1.51
2668,2015-02-04,1.37,1.52,1.37,1.49
2667,2015-02-05,1.34,1.54,1.34,1.51
2666,2015-02-06,1.51,1.55,1.51,1.54
2665,2015-02-09,1.54,1.55,1.52,1.52
2664,2015-02-10,1.52,1.55,1.51,1.54
2663,2015-02-11,1.54,1.56,1.54,1.56
2662,2015-02-12,1.55,1.6,1.55,1.59
2661,2015-02-13,1.59,1.61,1.58,1.6
2660,2015-02-24,1.6,1.63,1.6,1.61
2659,2015-02-25,1.46,1.63,1.46,1.58
2658,2015-02-26,1.58,1.59,1.56,1.58
2657,2015-02-27,1.56,1.6,1.56,1.56
2656,2015-03-02,1.58,1.58,1.54,1.54
2655,2015-03-03,1.54,1.55,1.5,1.55
2654,2015-03-04,1.55,1.59,1.55,1.59
2653,2015-03-05,1.59,1.6,1.56,1.58
2652,2015-03-06,1.58,1.58,1.55,1.56
2651,2015-03-09,1.56,1.56,1.52,1.52
2650,2015-03-10,1.51,1.55,1.51,1.51
2649,2015-03-11,1.52,1.54,1.5,1.5
2648,2015-03-12,1.49,1.55,1.4,1.51
2647,2015-03-13,1.51,1.52,1.5,1.5
2646,2015-03-16,1.5,1.5,1.45,1.45
2645,2015-03-17,1.46,1.47,1.45,1.47
2644,2015-03-18,1.47,1.49,1.45,1.45
2643,2015-03-19,1.45,1.47,1.45,1.45
2642,2015-03-20,1.45,1.47,1.45,1.45
2641,2015-03-23,1.46,1.46,1.42,1.42
2640,2015-03-24,1.42,1.43,1.4,1.41
2639,2015-03-25,1.4,1.42,1.4,1.41
2638,2015-03-26,1.41,1.42,1.4,1.41
2637,2015-03-27,1.42,1.43,1.4,1.4
2636,2015-03-30,1.41,1.41,1.37,1.37
2635,2015-03-31,1.4,1.41,1.38,1.4
2634,2015-04-01,1.4,1.41,1.34,1.36
2633,2015-04-02,1.36,1.38,1.34,1.38
2632,2015-04-03,1.38,1.4,1.37,1.38
2631,2015-04-06,1.38,1.4,1.36,1.36
2630,2015-04-07,1.37,1.4,1.36,1.37
2629,2015-04-08,1.38,1.4,1.37,1.37
2628,2015-04-09,1.38,1.41,1.37,1.4
2627,2015-04-10,1.41,1.46,1.41,1.45
2626,2015-04-13,1.45,1.46,1.41,1.41
2625,2015-04-14,1.43,1.43,1.4,1.4
2624,2015-04-15,1.41,1.42,1.4,1.41
2623,2015-04-16,1.43,1.45,1.41,1.45
2622,2015-04-17,1.45,1.46,1.43,1.43
2621,2015-04-20,1.43,1.45,1.41,1.42
2620,2015-04-21,1.42,1.43,1.41,1.42
2619,2015-04-22,1.42,1.42,1.38,1.38
2618,2015-04-23,1.4,1.42,1.4,1.41
2617,2015-04-24,1.42,1.43,1.4,1.41
2616,2015-04-27,1.41,1.41,1.37,1.37
2615,2015-05-04,1.38,1.38,1.3,1.3
2614,2015-05-05,1.18,1.33,1.18,1.32
2613,2015-05-06,1.33,1.33,1.29,1.3
2612,2015-05-07,1.29,1.33,1.29,1.32
2611,2015-05-08,1.32,1.34,1.32,1.34
2610,2015-05-11,1.34,1.36,1.33,1.34
2609,2015-05-12,1.34,1.34,1.3,1.32
2608,2015-05-13,1.33,1.36,1.3,1.36
2607,2015-05-14,1.36,1.37,1.34,1.36
2606,2015-05-15,1.36,1.4,1.36,1.37
2605,2015-05-18,1.36,1.37,1.29,1.32
2604,2015-05-19,1.32,1.34,1.3,1.32
2603,2015-05-20,1.34,1.45,1.33,1.45
2602,2015-05-21,1.46,1.52,1.43,1.5
2601,2015-05-22,1.5,1.51,1.47,1.5
2600,2015-05-25,1.5,1.54,1.49,1.52
2599,2015-05-26,1.52,1.55,1.5,1.51
2598,2015-05-27,1.52,1.55,1.5,1.52
2597,2015-05-28,1.51,1.59,1.51,1.56
2596,2015-05-29,1.58,1.58,1.51,1.55
2595,2015-06-01,1.58,1.58,1.54,1.55
2594,2015-06-02,1.55,1.59,1.54,1.56
2593,2015-06-03,1.58,1.62,1.58,1.6
2592,2015-06-04,1.62,1.63,1.58,1.58
2591,2015-06-05,1.6,1.66,1.56,1.63
2590,2015-06-08,1.64,1.68,1.62,1.62
2589,2015-06-09,1.62,1.64,1.58,1.58
2588,2015-06-10,1.58,1.62,1.56,1.59
2587,2015-06-11,1.6,1.66,1.6,1.63
2586,2015-06-12,1.66,1.79,1.64,1.77
2585,2015-06-15,1.79,1.91,1.77,1.86
2584,2015-06-16,1.86,1.87,1.79,1.81
2583,2015-06-17,1.79,1.85,1.74,1.79
2582,2015-06-18,1.81,1.89,1.81,1.86
2581,2015-06-19,1.89,1.93,1.83,1.85
2580,2015-06-22,1.85,1.86,1.82,1.83
2579,2015-06-23,1.85,1.85,1.81,1.81
2578,2015-06-24,1.82,1.86,1.81,1.85
2577,2015-06-25,1.85,1.87,1.81,1.86
2576,2015-06-26,1.83,2.01,1.83,1.95
2575,2015-06-29,1.94,1.99,1.93,1.99
2574,2015-06-30,1.98,2.01,1.89,1.89
2573,2015-07-01,1.9,1.98,1.89,1.91
2572,2015-07-02,1.91,1.95,1.9,1.93
2571,2015-07-03,1.94,1.99,1.91,1.91
2570,2015-07-06,1.91,1.97,1.91,1.97
2569,2015-07-07,1.99,1.99,1.94,1.94
2568,2015-07-08,1.93,1.94,1.83,1.83
2567,2015-07-09,1.83,1.9,1.81,1.9
2566,2015-07-10,1.91,1.95,1.87,1.87
2565,2015-07-13,1.87,1.91,1.86,1.87
2564,2015-07-14,1.89,1.97,1.87,1.93
2563,2015-07-15,1.93,1.95,1.91,1.91
2562,2015-07-16,1.91,1.94,1.89,1.94
2561,2015-07-17,1.93,1.95,1.9,1.93
2560,2015-07-20,1.93,1.93,1.86,1.89
2559,2015-07-21,1.87,1.9,1.83,1.86
2558,2015-07-22,1.85,1.98,1.83,1.98
2557,2015-07-23,1.98,2.07,1.97,1.99
2556,2015-07-24,1.99,2.07,1.97,2.06
2555,2015-07-27,2.07,2.2,2.06,2.12
2554,2015-07-28,2.12,2.16,2.05,2.05
2553,2015-07-29,2.05,2.07,2.02,2.03
2552,2015-07-30,2.02,2.09,2.02,2.07
2551,2015-07-31,2.07,2.09,1.99,2.01
2550,2015-08-03,2.01,2.01,1.89,1.91
2549,2015-08-04,1.91,1.97,1.9,1.93
