,Date,Open,High,Low,Close
2700,2015-01-05,27.99,28.14,27.85,27.99
2699,2015-01-06,27.99,28.28,27.7,27.99
2698,2015-01-07,27.99,28.72,27.99,28.57
2697,2015-01-08,28.57,28.87,28.43,28.72
2696,2015-01-09,29.01,30.03,28.87,30.03
2695,2015-01-12,30.03,30.03,29.16,29.16
2694,2015-01-13,29.16,29.74,29.01,29.74
2693,2015-01-14,30.03,30.03,29.16,29.45
2692,2015-01-15,29.45,29.45,29.01,29.16
2691,2015-01-16,29.16,29.16,29.01,29.16
2690,2015-01-19,29.16,29.16,28.87,29.01
2689,2015-01-20,28.72,29.45,28.72,29.16
2688,2015-01-21,29.45,29.74,29.01,29.16
2687,2015-01-22,29.16,29.45,29.01,29.01
2686,2015-01-23,29.16,29.45,28.87,29.16
2685,2015-01-26,29.16,29.45,29.01,29.01
2684,2015-01-27,29.01,30.32,29.01,29.74
2683,2015-01-28,29.45,30.03,29.45,29.45
2682,2015-01-29,29.45,30.62,29.45,30.62
2681,2015-01-30,30.32,30.62,30.03,30.32
2680,2015-02-02,30.32,30.62,30.03,30.03
2679,2015-02-03,30.03,30.32,29.45,29.45
2678,2015-02-04,29.45,30.03,29.16,30.03
2677,2015-02-05,30.03,30.62,29.74,30.03
2676,2015-02-06,30.03,30.32,30.03,30.03
2675,2015-02-09,30.03,30.32,29.74,30.32
2674,2015-02-10,30.03,30.32,30.03,30.03
2673,2015-02-11,30.03,30.62,30.03,30.62
2672,2015-02-12,30.32,30.62,30.32,30.62
2671,2015-02-13,30.62,30.91,30.32,30.91
2670,2015-02-24,30.91,31.2,30.91,31.2
2669,2015-02-25,31.2,31.78,31.2,31.78
2668,2015-02-26,31.78,32.07,31.49,31.49
2667,2015-02-27,31.78,31.78,31.2,31.49
2666,2015-03-02,31.49,31.78,31.2,31.2
2665,2015-03-03,31.2,31.49,30.91,31.49
2664,2015-03-04,31.49,31.78,31.2,31.78
2663,2015-03-05,31.78,31.78,31.2,31.49
2662,2015-03-06,31.49,31.78,31.2,31.2
2661,2015-03-09,31.2,31.49,31.2,31.2
2660,2015-03-10,31.2,31.49,31.2,31.49
2659,2015-03-11,31.49,31.78,31.2,31.49
2658,2015-03-12,31.49,31.78,31.2,31.78
2657,2015-03-13,31.49,31.78,31.2,31.49
2656,2015-03-16,31.49,31.78,31.49,31.78
2655,2015-03-17,31.78,31.78,31.49,31.78
2654,2015-03-18,31.49,31.78,31.49,31.78
2653,2015-03-19,31.49,31.78,31.2,31.49
2652,2015-03-20,31.2,31.49,31.2,31.2
2651,2015-03-23,31.2,31.49,30.91,31.2
2650,2015-03-24,31.2,31.2,30.91,31.2
2649,2015-03-25,31.2,31.2,30.62,31.2
2648,2015-03-26,30.91,31.2,30.62,31.2
2647,2015-03-27,30.91,31.2,30.62,30.62
2646,2015-03-30,30.91,30.91,30.32,30.62
2645,2015-03-31,30.62,30.91,30.32,30.91
2644,2015-04-01,30.91,30.91,30.32,30.62
2643,2015-04-02,30.32,30.91,30.32,30.91
2642,2015-04-03,30.62,30.91,30.32,30.62
2641,2015-04-06,30.62,30.91,30.32,30.32
2640,2015-04-07,30.32,30.91,30.32,30.91
2639,2015-04-08,30.91,31.2,30.91,30.91
2638,2015-04-09,30.91,31.2,30.91,30.91
2637,2015-04-10,30.91,31.78,30.91,31.49
2636,2015-04-13,32.07,32.37,31.49,32.07
2635,2015-04-14,32.37,32.37,31.78,32.07
2634,2015-04-15,32.07,32.07,31.49,31.78
2633,2015-04-16,31.78,31.78,31.49,31.49
2632,2015-04-17,31.49,31.78,31.49,31.49
2631,2015-04-20,31.78,31.78,31.2,31.49
2630,2015-04-21,31.49,31.78,31.2,31.49
2629,2015-04-22,31.49,31.78,31.2,31.49
2628,2015-04-23,31.49,31.78,31.49,31.49
2627,2015-04-24,31.78,31.78,31.49,31.78
2626,2015-04-27,31.78,31.78,31.49,31.49
2625,2015-05-04,31.2,31.49,30.91,30.91
2624,2015-05-05,30.91,30.91,30.32,30.91
2623,2015-05-06,30.91,31.2,30.62,30.91
2622,2015-05-07,30.91,31.49,30.62,30.91
2621,2015-05-08,30.91,31.2,30.91,30.91
2620,2015-05-11,30.91,31.2,30.62,30.91
2619,2015-05-12,30.91,31.2,30.62,30.62
2618,2015-05-13,30.62,30.91,30.62,30.62
2617,2015-05-14,30.62,30.91,30.32,30.62
2616,2015-05-15,30.62,30.91,30.32,30.62
2615,2015-05-18,30.32,30.62,30.03,30.62
2614,2015-05-19,30.32,30.62,30.32,30.62
2613,2015-05-20,30.32,31.2,30.32,31.2
2612,2015-05-21,31.2,31.2,30.62,30.91
2611,2015-05-22,30.91,31.2,30.91,31.2
2610,2015-05-25,31.2,31.2,30.62,30.91
2609,2015-05-26,30.91,30.91,30.62,30.91
2608,2015-05-27,30.62,30.91,30.62,30.91
2607,2015-05-28,30.62,30.91,30.62,30.91
2606,2015-05-29,30.91,30.91,30.62,30.62
2605,2015-06-01,30.91,31.2,30.62,30.91
2604,2015-06-02,30.91,30.91,30.62,30.91
2603,2015-06-03,30.91,31.2,30.62,30.91
2602,2015-06-04,30.91,31.49,30.91,31.2
2601,2015-06-05,31.2,31.49,30.91,31.2
2600,2015-06-08,31.2,31.49,31.2,31.49
2599,2015-06-09,31.49,31.49,31.2,31.2
2598,2015-06-10,31.2,31.49,30.91,31.2
2597,2015-06-11,31.2,31.49,31.2,31.49
2596,2015-06-12,31.49,31.79,31.19,31.49
2595,2015-06-15,31.19,31.49,31.19,31.49
2594,2015-06-16,31.49,31.49,30.9,31.19
2593,2015-06-17,31.19,31.49,30.9,31.19
2592,2015-06-18,31.19,31.49,31.19,31.49
2591,2015-06-19,31.79,32.08,31.49,31.79
2590,2015-06-22,32.08,33.27,32.08,33.27
2589,2015-06-23,33.27,33.57,32.68,32.98
2588,2015-06-24,32.68,32.98,32.38,32.38
2587,2015-06-25,32.38,32.98,32.08,32.98
2586,2015-06-26,32.68,34.46,32.68,33.87
2585,2015-06-29,33.87,34.16,33.57,33.87
2584,2015-06-30,33.57,33.87,33.27,33.57
2583,2015-07-01,33.57,34.16,33.57,33.87
2582,2015-07-02,33.87,34.16,33.57,33.87
2581,2015-07-03,33.87,34.16,33.57,34.16
2580,2015-07-06,34.16,35.05,34.16,34.46
2579,2015-07-07,34.46,34.76,34.16,34.76
2578,2015-07-08,34.76,34.76,33.87,34.16
2577,2015-07-09,33.87,34.46,33.87,34.16
2576,2015-07-10,34.16,34.46,33.87,34.16
2575,2015-07-13,34.76,34.76,34.46,34.76
2574,2015-07-14,34.76,35.05,34.46,35.05
2573,2015-07-15,35.05,35.35,34.76,35.05
2572,2015-07-16,35.05,35.05,34.46,34.76
2571,2015-07-17,34.76,35.05,34.46,34.76
2570,2015-07-20,34.76,34.76,34.16,34.46
2569,2015-07-21,34.46,34.76,34.46,34.76
2568,2015-07-22,34.76,35.35,34.46,35.35
2567,2015-07-23,35.65,36.84,35.65,36.24
2566,2015-07-24,36.54,36.54,35.95,36.24
2565,2015-07-27,35.95,36.24,35.65,36.24
2564,2015-07-28,36.24,36.54,35.95,35.95
2563,2015-07-29,35.95,36.24,35.65,35.95
2562,2015-07-30,35.95,35.95,35.35,35.35
2561,2015-07-31,35.35,35.95,35.05,35.65
2560,2015-08-03,35.65,35.65,35.05,35.35
2559,2015-08-04,35.35,35.35,34.76,34.76
2558,2015-08-05,35.07,35.62,35.07,35.44
2557,2015-08-06,35.62,36.36,35.44,35.81
2556,2015-08-07,35.99,36.91,35.81,36.91
2555,2015-08-10,37.65,39.5,37.65,39.5
2554,2015-08-11,39.87,40.23,38.76,38.76
2553,2015-08-12,38.39,38.76,37.65,38.02
2552,2015-08-13,38.02,38.76,37.65,38.76
2551,2015-08-14,38.76,39.5,38.39,38.76
2550,2015-08-17,38.76,38.76,37.65,38.02
2549,2015-08-18,38.02,38.39,37.28,38.02
2548,2015-08-19,37.65,38.39,37.28,38.39
2547,2015-08-20,38.02,38.39,37.65,37.65
2546,2015-08-21,36.91,37.28,36.17,37.28
2545,2015-08-24,36.73,36.73,34.7,34.88
2544,2015-08-25,33.96,36.36,33.96,35.44
2543,2015-08-26,35.62,37.28,35.62,36.91
2542,2015-08-27,37.28,37.28,36.54,36.73
2541,2015-08-28,36.91,37.28,36.54,37.28
2540,2015-08-31,37.28,38.02,36.73,36.91
2539,2015-09-01,36.91,37.28,36.73,36.73
2538,2015-09-03,36.73,36.91,36.17,36.54
2537,2015-09-04,36.54,36.54,36.17,36.36
2536,2015-09-07,36.17,36.36,35.81,35.81
2535,2015-09-08,35.62,36.17,35.62,35.81
2534,2015-09-09,36.17,36.17,35.81,35.99
2533,2015-09-10,36.17,36.91,35.99,36.73
2532,2015-09-11,36.73,36.91,36.36,36.36
2531,2015-09-14,36.17,36.36,35.99,35.99
2530,2015-09-15,35.99,36.36,35.81,35.99
2529,2015-09-16,35.99,36.17,35.81,35.99
2528,2015-09-17,35.99,36.17,35.81,35.99
2527,2015-09-18,36.17,36.54,36.17,36.36
2526,2015-09-21,36.36,36.73,36.17,36.54
2525,2015-09-22,36.54,37.65,36.54,37.65
2524,2015-09-23,37.65,38.39,37.28,37.28
2523,2015-09-24,37.28,37.28,36.91,36.91
2522,2015-09-25,36.91,37.28,36.73,37.28
2521,2015-09-28,37.28,38.02,37.28,37.65
2520,2015-09-29,37.28,37.28,36.73,36.91
