,Date,Open,High,Low,Close
2047,2017-08-17,7.87,7.87,6.66,7.87
2046,2017-08-18,7.66,7.77,7.5,7.5
2045,2017-08-21,7.22,7.42,7.16,7.23
2044,2017-08-22,7.02,7.26,7.02,7.26
2043,2017-08-23,7.26,7.42,7.21,7.3
2042,2017-08-24,7.33,7.33,7.22,7.31
2041,2017-08-25,7.24,7.32,7.22,7.32
2040,2017-08-28,7.26,7.32,7.24,7.32
2039,2017-08-29,7.28,7.32,7.25,7.32
2038,2017-08-30,7.32,7.32,7.26,7.32
2037,2017-08-31,7.28,7.32,7.28,7.32
2036,2017-09-01,7.28,7.32,7.28,7.32
2035,2017-09-05,7.27,7.34,7.27,7.34
2034,2017-09-06,7.34,7.7,7.32,7.69
2033,2017-09-07,7.7,7.93,7.7,7.78
2032,2017-09-08,7.77,7.77,7.69,7.7
2031,2017-09-11,7.66,7.68,7.44,7.46
2030,2017-09-12,7.46,7.56,7.34,7.53
2029,2017-09-13,7.53,7.58,7.48,7.56
2028,2017-09-14,7.56,7.58,7.52,7.55
2027,2017-09-15,7.55,7.58,7.53,7.54
2026,2017-09-18,7.54,7.56,7.51,7.52
2025,2017-09-19,7.52,7.52,7.44,7.45
2024,2017-09-20,7.45,7.52,7.43,7.44
2023,2017-09-21,7.44,7.45,7.41,7.44
2022,2017-09-22,7.44,7.44,7.36,7.4
2021,2017-09-25,7.4,7.43,7.39,7.39
2020,2017-09-26,7.44,7.44,7.38,7.38
2019,2017-09-27,7.38,7.55,7.38,7.51
2018,2017-09-28,7.52,7.62,7.5,7.51
2017,2017-09-29,7.51,7.61,7.51,7.56
2016,2017-10-02,7.56,7.58,7.46,7.51
2015,2017-10-03,7.5,7.52,7.41,7.44
2014,2017-10-04,7.44,7.46,7.41,7.44
2013,2017-10-05,7.48,7.49,7.43,7.43
2012,2017-10-06,7.47,7.5,7.42,7.5
2011,2017-10-09,7.58,7.58,7.51,7.55
2010,2017-10-10,7.55,7.7,7.53,7.66
2009,2017-10-11,7.7,7.97,7.69,7.97
2008,2017-10-12,7.98,8.23,7.93,8.08
2007,2017-10-13,8.05,8.28,8.05,8.11
2006,2017-10-16,8.11,8.31,8.11,8.21
2005,2017-10-17,8.21,8.37,8.21,8.31
2004,2017-10-18,8.47,8.49,8.33,8.33
2003,2017-10-19,8.31,8.41,8.23,8.29
2002,2017-10-20,8.29,8.39,8.29,8.33
2001,2017-10-23,8.33,8.45,8.21,8.23
2000,2017-10-24,8.26,8.26,8.16,8.21
1999,2017-10-25,8.21,8.3,8.13,8.27
1998,2017-10-26,8.27,8.33,8.17,8.21
1997,2017-10-27,8.19,8.27,8.18,8.24
1996,2017-10-30,8.24,8.43,8.24,8.29
1995,2017-10-31,8.29,8.33,8.19,8.2
1994,2017-11-01,8.19,8.25,8.1,8.13
1993,2017-11-02,8.11,8.19,7.58,7.6
1992,2017-11-03,7.62,8.11,7.62,8.11
1991,2017-11-06,8.11,8.11,7.97,8.05
1990,2017-11-07,8.03,8.03,7.95,7.97
1989,2017-11-08,7.97,8.13,7.9,8.11
1988,2017-11-09,8.13,8.13,7.97,8.01
1987,2017-11-10,8.0,8.01,7.97,7.98
1986,2017-11-13,7.99,7.99,7.79,7.81
1985,2017-11-14,7.81,7.95,7.81,7.88
1984,2017-11-15,7.92,7.96,7.83,7.93
1983,2017-11-16,7.93,8.15,7.88,7.97
1982,2017-11-17,8.03,8.07,7.96,7.97
1981,2017-11-20,7.99,7.99,7.88,7.89
1980,2017-11-21,7.87,7.94,7.82,7.86
1979,2017-11-22,7.87,8.11,7.85,7.99
1978,2017-11-23,8.07,8.25,7.89,8.07
1977,2017-11-24,8.12,8.19,8.01,8.07
1976,2017-11-27,8.07,8.07,8.02,8.03
1975,2017-11-28,8.03,8.14,8.01,8.03
1974,2017-11-29,8.03,8.16,8.03,8.09
1973,2017-11-30,8.15,8.32,8.13,8.3
1972,2017-12-01,8.39,8.39,8.29,8.3
1971,2017-12-04,8.31,8.53,8.31,8.37
1970,2017-12-05,8.41,8.46,8.21,8.28
1969,2017-12-06,8.28,8.29,8.09,8.17
1968,2017-12-07,8.17,8.19,7.99,7.99
1967,2017-12-08,7.99,8.07,7.95,7.97
1966,2017-12-11,7.87,7.96,7.78,7.78
1965,2017-12-12,7.83,7.97,7.26,7.81
1964,2017-12-13,7.81,7.82,7.64,7.64
1963,2017-12-14,7.66,7.79,7.66,7.75
1962,2017-12-15,7.75,7.84,7.7,7.7
1961,2017-12-18,7.77,7.93,7.75,7.87
1960,2017-12-19,7.96,7.96,7.77,7.91
1959,2017-12-20,7.91,8.17,7.91,8.14
1958,2017-12-21,8.15,8.25,8.14,8.16
1957,2017-12-22,8.13,8.15,8.04,8.15
1956,2017-12-25,8.15,8.15,8.03,8.05
1955,2017-12-26,8.07,8.09,8.01,8.03
1954,2017-12-27,8.07,8.13,8.05,8.05
1953,2017-12-28,8.11,8.23,8.11,8.17
1952,2017-12-29,8.23,8.33,8.19,8.27
1951,2018-01-02,8.28,8.84,8.28,8.73
1950,2018-01-03,8.85,8.96,8.71,8.74
1949,2018-01-04,8.75,9.08,8.74,9.06
1948,2018-01-05,9.06,9.06,8.77,8.96
1947,2018-01-08,8.96,9.38,8.87,9.37
1946,2018-01-09,9.48,9.67,9.08,9.66
1945,2018-01-10,9.69,9.79,9.56,9.68
1944,2018-01-11,9.55,9.83,9.53,9.83
1943,2018-01-12,9.88,9.88,9.44,9.5
1942,2018-01-15,9.52,9.76,9.46,9.68
1941,2018-01-16,9.64,9.67,9.4,9.58
1940,2018-01-17,9.61,9.74,9.45,9.48
1939,2018-01-18,9.44,9.68,9.38,9.68
1938,2018-01-19,9.68,10.1,9.68,9.72
1937,2018-01-22,9.72,10.0,9.72,9.93
1936,2018-01-23,9.93,9.93,9.93,9.93
1935,2018-01-24,9.93,9.93,9.93,9.93
1934,2018-01-25,10.08,10.61,10.0,10.57
1933,2018-01-26,10.59,10.77,10.45,10.49
1932,2018-01-29,10.61,10.89,10.47,10.51
1931,2018-01-30,10.41,10.67,10.25,10.67
1930,2018-01-31,10.69,10.91,10.67,10.75
1929,2018-02-01,10.79,10.79,10.45,10.53
1928,2018-02-02,10.55,10.93,10.45,10.93
1927,2018-02-05,10.81,10.91,10.25,10.39
1926,2018-02-06,9.66,10.39,9.66,9.96
1925,2018-02-07,10.49,10.65,10.37,10.57
1924,2018-02-08,10.51,10.61,10.39,10.49
1923,2018-02-09,9.88,10.67,9.88,10.59
1922,2018-02-12,10.75,11.13,10.69,11.13
1921,2018-02-13,11.48,11.48,11.19,11.4
