,Date,Open,High,Low,Close
2700,2015-01-05,5.15,5.16,5.1,5.16
2699,2015-01-06,5.16,5.17,5.08,5.17
2698,2015-01-07,5.19,5.21,5.12,5.21
2697,2015-01-08,5.21,5.21,5.16,5.16
2696,2015-01-09,5.21,5.41,5.21,5.31
2695,2015-01-12,5.31,5.31,5.21,5.26
2694,2015-01-13,5.21,5.31,5.21,5.31
2693,2015-01-14,5.31,5.36,5.15,5.31
2692,2015-01-15,5.36,5.36,5.21,5.21
2691,2015-01-16,5.21,5.21,5.18,5.21
2690,2015-01-19,5.15,5.19,5.15,5.19
2689,2015-01-20,5.21,5.26,5.21,5.21
2688,2015-01-21,5.21,5.21,5.15,5.16
2687,2015-01-22,5.21,5.21,5.15,5.21
2686,2015-01-23,5.21,5.21,5.16,5.21
2685,2015-01-26,5.17,5.21,5.15,5.21
2684,2015-01-27,5.15,5.31,5.15,5.21
2683,2015-01-28,5.21,5.26,5.15,5.21
2682,2015-01-29,5.16,5.21,5.15,5.19
2681,2015-01-30,5.16,5.17,5.1,5.1
2680,2015-02-02,5.19,5.19,5.1,5.1
2679,2015-02-03,5.1,5.1,5.05,5.1
2678,2015-02-04,5.1,5.1,5.07,5.07
2677,2015-02-05,5.07,5.08,5.06,5.06
2676,2015-02-06,5.14,5.19,5.1,5.15
2675,2015-02-09,5.21,5.36,5.21,5.36
2674,2015-02-10,5.36,5.41,5.36,5.36
2673,2015-02-11,5.36,5.36,5.31,5.36
2672,2015-02-12,5.31,5.36,5.21,5.31
2671,2015-02-13,5.31,5.41,5.26,5.31
2670,2015-02-24,5.31,5.47,5.31,5.36
2669,2015-02-25,5.47,5.47,5.36,5.36
2668,2015-02-26,5.36,5.41,5.31,5.36
2667,2015-02-27,5.31,5.36,5.26,5.31
2666,2015-03-02,5.31,5.36,5.26,5.31
2665,2015-03-03,5.31,5.47,5.31,5.41
2664,2015-03-04,5.47,5.52,5.41,5.47
2663,2015-03-05,5.52,5.52,5.41,5.52
2662,2015-03-06,5.47,5.62,5.47,5.57
2661,2015-03-09,5.57,5.62,5.52,5.52
2660,2015-03-10,5.52,5.52,5.47,5.47
