,Date,Open,High,Low,Close
2700,2015-01-05,3.44,3.52,3.4,3.4
2699,2015-01-06,3.36,3.56,3.36,3.56
2698,2015-01-07,3.56,3.73,3.56,3.6
2697,2015-01-08,3.65,3.65,3.56,3.6
2696,2015-01-09,3.56,3.73,3.56,3.69
2695,2015-01-12,3.69,3.73,3.56,3.56
2694,2015-01-13,3.56,3.65,3.56,3.56
2693,2015-01-14,3.6,3.6,3.52,3.56
2692,2015-01-15,3.6,3.69,3.56,3.6
2691,2015-01-16,3.65,3.69,3.56,3.6
2690,2015-01-19,3.6,3.65,3.6,3.6
2689,2015-01-20,3.56,3.69,3.56,3.65
2688,2015-01-21,3.65,3.77,3.65,3.69
2687,2015-01-22,3.73,3.73,3.65,3.69
2686,2015-01-23,3.73,3.73,3.65,3.69
2685,2015-01-26,3.69,3.73,3.65,3.65
2684,2015-01-27,3.65,3.69,3.44,3.52
2683,2015-01-28,3.48,3.56,3.48,3.52
2682,2015-01-29,3.48,3.52,3.4,3.48
2681,2015-01-30,3.48,3.6,3.4,3.56
2680,2015-02-02,3.56,3.56,3.44,3.48
2679,2015-02-03,3.48,3.48,3.4,3.44
2678,2015-02-04,3.44,3.44,3.36,3.36
2677,2015-02-05,3.36,3.44,3.36,3.4
2676,2015-02-06,3.44,3.44,3.36,3.36
2675,2015-02-09,3.36,3.4,3.28,3.28
2674,2015-02-10,3.32,3.32,3.28,3.28
2673,2015-02-11,3.32,3.36,3.28,3.28
2672,2015-02-12,3.32,3.4,3.32,3.4
2671,2015-02-13,3.44,3.44,3.36,3.36
2670,2015-02-24,3.36,3.44,3.36,3.44
2669,2015-02-25,3.4,3.44,3.36,3.4
2668,2015-02-26,3.4,3.4,3.32,3.36
2667,2015-02-27,3.4,3.4,3.32,3.36
2666,2015-03-02,3.32,3.4,3.28,3.36
2665,2015-03-03,3.36,3.44,3.32,3.44
2664,2015-03-04,3.44,3.48,3.4,3.4
2663,2015-03-05,3.44,3.44,3.4,3.4
2662,2015-03-06,3.36,3.44,3.36,3.4
2661,2015-03-09,3.4,3.44,3.36,3.36
2660,2015-03-10,3.32,3.4,3.32,3.36
2659,2015-03-11,3.36,3.36,3.32,3.32
2658,2015-03-12,3.36,3.36,3.28,3.32
2657,2015-03-13,3.36,3.36,3.28,3.36
2656,2015-03-16,3.36,3.36,3.32,3.36
2655,2015-03-17,3.36,3.36,3.32,3.32
2654,2015-03-18,3.32,3.32,3.24,3.24
2653,2015-03-19,3.28,3.32,3.24,3.24
2652,2015-03-20,3.24,3.28,3.24,3.28
2651,2015-03-23,3.28,3.32,3.24,3.24
2650,2015-03-24,3.24,3.24,3.19,3.24
2649,2015-03-25,3.24,3.28,3.19,3.19
2648,2015-03-26,3.24,3.24,3.15,3.19
2647,2015-03-27,3.19,3.24,3.15,3.15
2646,2015-03-30,3.19,3.19,3.07,3.07
2645,2015-03-31,3.15,3.19,3.11,3.11
2644,2015-04-01,3.15,3.15,3.03,3.03
2643,2015-04-02,3.11,3.11,3.03,3.11
2642,2015-04-03,3.11,3.15,3.07,3.07
2641,2015-04-06,3.11,3.19,3.11,3.19
2640,2015-04-07,3.19,3.19,3.15,3.19
2639,2015-04-08,3.19,3.19,3.11,3.11
2638,2015-04-09,3.15,3.19,3.11,3.11
2637,2015-04-10,3.11,3.24,3.11,3.19
2636,2015-04-13,3.15,3.19,3.11,3.19
2635,2015-04-14,3.19,3.19,3.11,3.15
2634,2015-04-15,3.15,3.24,3.15,3.19
2633,2015-04-16,3.19,3.19,3.11,3.19
2632,2015-04-17,3.19,3.19,3.11,3.19
2631,2015-04-20,3.11,3.19,3.11,3.15
2630,2015-04-21,3.15,3.15,3.11,3.11
2629,2015-04-22,3.15,3.15,3.07,3.07
2628,2015-04-23,3.07,3.11,2.99,3.07
2627,2015-04-24,3.07,3.11,3.07,3.07
2626,2015-04-27,3.07,3.11,2.99,3.03
2625,2015-05-04,3.03,3.03,2.87,2.87
2624,2015-05-05,2.87,2.95,2.83,2.91
2623,2015-05-06,2.91,2.91,2.87,2.87
2622,2015-05-07,2.91,2.95,2.87,2.91
2621,2015-05-08,2.95,2.99,2.91,2.95
2620,2015-05-11,2.95,2.95,2.91,2.91
2619,2015-05-12,2.91,2.91,2.83,2.87
2618,2015-05-13,2.91,2.91,2.79,2.83
2617,2015-05-14,2.83,2.87,2.79,2.79
2616,2015-05-15,2.79,2.87,2.79,2.79
2615,2015-05-18,2.74,2.79,2.7,2.74
2614,2015-05-19,2.7,2.79,2.7,2.79
2613,2015-05-20,2.74,2.91,2.74,2.87
2612,2015-05-21,2.87,2.91,2.87,2.91
2611,2015-05-22,2.87,2.95,2.83,2.95
2610,2015-05-25,2.91,2.95,2.87,2.87
2609,2015-05-26,2.91,2.95,2.91,2.91
2608,2015-05-27,2.91,2.95,2.87,2.91
2607,2015-05-28,2.91,3.03,2.91,2.95
2606,2015-05-29,2.99,2.99,2.91,2.95
2605,2015-06-01,2.95,2.95,2.87,2.91
2604,2015-06-02,2.91,2.91,2.83,2.83
2603,2015-06-03,2.87,2.91,2.83,2.91
2602,2015-06-04,2.87,2.95,2.87,2.87
2601,2015-06-05,2.95,3.03,2.87,2.99
2600,2015-06-08,2.99,3.03,2.95,2.95
2599,2015-06-09,2.95,2.99,2.91,2.95
2598,2015-06-10,2.91,2.95,2.91,2.95
2597,2015-06-11,2.95,2.99,2.91,2.95
2596,2015-06-12,3.03,3.15,3.03,3.07
2595,2015-06-15,2.99,3.11,2.99,3.03
2594,2015-06-16,3.07,3.07,2.99,2.99
2593,2015-06-17,2.95,2.99,2.95,2.99
2592,2015-06-18,3.03,3.03,2.95,3.03
2591,2015-06-19,3.07,3.07,2.95,2.95
2590,2015-06-22,2.95,2.99,2.95,2.95
2589,2015-06-23,2.95,2.99,2.95,2.99
2588,2015-06-24,3.03,3.03,2.95,2.99
2587,2015-06-25,2.99,3.03,2.95,2.99
2586,2015-06-26,2.99,2.99,2.95,2.95
2585,2015-06-29,2.95,2.99,2.95,2.99
2584,2015-06-30,2.99,2.99,2.95,2.95
2583,2015-07-01,3.07,3.07,2.91,2.95
2582,2015-07-02,2.95,3.03,2.95,2.95
2581,2015-07-03,2.95,3.07,2.95,3.07
2580,2015-07-06,3.07,3.28,3.07,3.28
2579,2015-07-07,3.28,3.32,3.24,3.24
2578,2015-07-08,3.16,3.24,3.11,3.11
2577,2015-07-09,3.07,3.2,3.07,3.16
2576,2015-07-10,3.2,3.2,3.11,3.11
2575,2015-07-13,3.16,3.16,3.07,3.16
